Tên,Lineage,Issues,URI
"Chơn Kinh Pháp Hương","","Bio quá ngắn hoặc trống",
"Chơn Khai Phổ Hy","","Bio quá ngắn hoặc trống",
"Ấn Thị Hoằng Quán","","Bio quá ngắn hoặc trống",
"Ấn Tụng Hoằng Niệm","","Bio quá ngắn hoặc trống",
"Ấn Hoa Tổ Đường","","Bio quá ngắn hoặc trống",
"Chơn Quỳnh Diệu Nguyên","","Bio quá ngắn hoặc trống",
"Chơn Thật Pháp Ngãi","","Bio quá ngắn hoặc trống",
"Ấn Tổ Phước Minh","","Bio quá ngắn hoặc trống",
"Chương Trí Quảng Giác","","Bio quá ngắn hoặc trống",
"Như Minh","","Bio quá ngắn hoặc trống",
"Chơn Châu Vạn Thành","","Bio quá ngắn hoặc trống",
"Ngộ Thiệu Minh Lý","","Bio quá ngắn hoặc trống",
"Huệ Lâm","","Bio quá ngắn hoặc trống",
"Huệ Tràng","","Bio quá ngắn hoặc trống",
"Hoằng Nguyện","","Bio quá ngắn hoặc trống",
"Hoằng Chất","","Bio quá ngắn hoặc trống",
"Hoằng Thọ","","Bio quá ngắn hoặc trống",
"Chơn Công Viên Giác","","Bio quá ngắn hoặc trống",
"Như Nghĩa Tấn Hạnh","","Bio quá ngắn hoặc trống",
"Như Ðiển Trí Tâm","","Bio quá ngắn hoặc trống",
"Như Giác Giác Ngộ","","Bio quá ngắn hoặc trống",
"Như Thiện Hoàn Quan","","Bio quá ngắn hoặc trống",
"Như Mẫn Hoàn Phú","","Bio quá ngắn hoặc trống",
"Như Nghĩa Tín Truyền","","Bio quá ngắn hoặc trống",
"Như Kế Huyền Đức","","Bio quá ngắn hoặc trống",
"Như Quyền Giải Đạt","","Bio quá ngắn hoặc trống",
"Như Phẩm Huyền Hoa","","Bio quá ngắn hoặc trống",
"Như Thiền Huyền An","","Bio quá ngắn hoặc trống",
"Như Lập Giải Thành","","Bio quá ngắn hoặc trống",
"Như Lễ Tín Trí","","Bio quá ngắn hoặc trống",
"Như Thư Giải Học","","Bio quá ngắn hoặc trống",
"Như Phục Giải Điều","","Bio quá ngắn hoặc trống",
"Như Thuận Tín Tấn","","Bio quá ngắn hoặc trống",
"Như Thâm Giải Nguyện","","Bio quá ngắn hoặc trống",
"Như Khuôn Giác Sơn","","Bio quá ngắn hoặc trống",
"Như Hương Hòa Phước","","Bio quá ngắn hoặc trống",
"Như Kế Huyền Tôn","","Bio quá ngắn hoặc trống",
"Toàn Ðạo Viên Ðàm","","Bio quá ngắn hoặc trống",
"Đạt Khương Viên Giác","","Bio quá ngắn hoặc trống",
"Liễu Đức Huệ Giáo","","Bio quá ngắn hoặc trống",
"Ðồng Huy Quảng Tú","","Bio quá ngắn hoặc trống",
"Đồng Quả Thiện Phước","","Bio quá ngắn hoặc trống",
"Chúc Thọ Quảng Thiện","","Bio quá ngắn hoặc trống",
"Pháp Châu","","Bio quá ngắn hoặc trống",
"Hải Chấn Chánh Ký","","Bio quá ngắn hoặc trống",
"Tánh Hồng Hải Tạng","","Bio quá ngắn hoặc trống",
"Thanh Lương Phổ Hiện","","Bio quá ngắn hoặc trống",
"Hải Vinh Phổ Tường","","Bio quá ngắn hoặc trống",
"Hải Ân Từ Điệp","","Bio quá ngắn hoặc trống",
"Hải Huệ Chánh Nhơn","","Bio quá ngắn hoặc trống",
"Hồng Pháp Thiện Minh","","Bio quá ngắn hoặc trống",
"Hồng Diệu Thiện Đạo","","Bio quá ngắn hoặc trống",
"Hồng Nhẫn Từ Nhơn","","Bio quá ngắn hoặc trống",
"Hồng Nhơn Từ Nhẫn","","Bio quá ngắn hoặc trống",
"Hồng Tôi Thiện Tường","","Bio quá ngắn hoặc trống",
"Hồng Mão Thiện Tâm","","Bio quá ngắn hoặc trống",
"Hồng Minh Từ Hội","","Bio quá ngắn hoặc trống",
"Hồng Tồng Quảng Đạt","","Bio quá ngắn hoặc trống",
"Hồng Thông Trí Châu","","Bio quá ngắn hoặc trống",
"Hồng Sáng Thiện Quang","","Bio quá ngắn hoặc trống",
"Hồng Chương Trí Đức","","Bio quá ngắn hoặc trống",
"Hồng Trung Thiện Tín","","Bio quá ngắn hoặc trống",
"Hồng Từ Diệu Nga","","Bio quá ngắn hoặc trống",
"Hồng Trung Diệu Hậu","","Bio quá ngắn hoặc trống",
"Hồng Lầu Diệu Tấn","","Bio quá ngắn hoặc trống",
"Hồng Quý Bửu Thanh","","Bio quá ngắn hoặc trống",
"Tế Đường Châu Cấp","","Bio quá ngắn hoặc trống",
"Phước Tịnh","","Bio quá ngắn hoặc trống",
"Nguyên Quang Huyền Khánh","","Bio quá ngắn hoặc trống",
"Nguyên Truyền Huyền Phong","","Bio quá ngắn hoặc trống",
"TT Thích Minh Dung","","Bio quá ngắn hoặc trống",
"Đồng An Đạo Phi","","Bio quá ngắn hoặc trống",
"Đồng An Quan Trí","","Bio quá ngắn hoặc trống",
"Tân La Tuệ","","Bio quá ngắn hoặc trống",
"Tân La Khánh Hiến","","Bio quá ngắn hoặc trống",
"Nam Nhạc Pháp Chí","","Bio quá ngắn hoặc trống",
"Lô Châu Dã Phụ Sơn","","Bio quá ngắn hoặc trống",
"Thư Châu Bạch Thủy Huy","","Bio quá ngắn hoặc trống",
"Đàm Châu Mộ Phụ","","Bio quá ngắn hoặc trống",
"Long Hưng Ngộ Không","","Bio quá ngắn hoặc trống",
"Lĩnh Ban","","Bio quá ngắn hoặc trống",
"Tân La Vân Trú","","Bio quá ngắn hoặc trống",
"Tấn Châu Đại Phạm","","Bio quá ngắn hoặc trống",
"Trì Châu Kê Sơn Chương","","Bio quá ngắn hoặc trống",
"Vân Cư Xương","","Bio quá ngắn hoặc trống",
"Nam Nhạc Nam Đài","","Bio quá ngắn hoặc trống",
"Lãng Châu Đức Sơn","","Bio quá ngắn hoặc trống",
"Kiến Châu Bạch Vân Giảm","","Bio quá ngắn hoặc trống",
"Đại Thiện Tuệ Hải","","Bio quá ngắn hoặc trống",
"Quy Tông Hoài Uẩn","","Bio quá ngắn hoặc trống",
"Vân Cư Hoài Nhạc","","Bio quá ngắn hoặc trống",
"Thiệp Châu Chu Khê Khiêm","","Bio quá ngắn hoặc trống",
"Thủy Tây Nam Đài","","Bio quá ngắn hoặc trống",
"Tri Châu Quảng Tế","","Bio quá ngắn hoặc trống",
"Quy Tông Đạm Quyền","","Bio quá ngắn hoặc trống",
"Tô Châu Vĩnh Quang Chân","","Bio quá ngắn hoặc trống",
"Dương Châu Phong Hóa","","Bio quá ngắn hoặc trống",
"Vân Cư Đạo Giản","","Bio quá ngắn hoặc trống",
