Tên,Lineage,Issues,URI
"Đặng Châu Trung Độ","","Bio quá ngắn hoặc trống",
"Phụng Tường Phủ Thanh Phong","","Bio quá ngắn hoặc trống",
"Hắc Thủy Tuệ Thông","","Bio quá ngắn hoặc trống",
"Kinh Triệu Ngọa Long","","Bio quá ngắn hoặc trống",
"Ô Nha Ngạn Tân","","Bio quá ngắn hoặc trống",
"Vĩnh An Thiện Tịnh","","Bio quá ngắn hoặc trống",
"An Phước Diên Hưu","","Bio quá ngắn hoặc trống",
"Tây Kinh Vân Nham","","Bio quá ngắn hoặc trống",
"Ích Châu Sơn Viện Giáp","","Bio quá ngắn hoặc trống",
"Tung Sơn Toàn","","Bio quá ngắn hoặc trống",
"Lãng Châu Kỳ Xà","","Bio quá ngắn hoặc trống",
"Việt Châu Việt Phong","","Bio quá ngắn hoặc trống",
"Lô Thiên Diên Khánh","","Bio quá ngắn hoặc trống",
"Thái Nguyên Tư Phước Đoan","","Bio quá ngắn hoặc trống",
"Cát Châu Tiên Cư","","Bio quá ngắn hoặc trống",
"Thiều Châu Đàm Phổ","","Bio quá ngắn hoặc trống",
"Ích Châu Thê Mục","","Bio quá ngắn hoặc trống",
"Vận Châu Tứ Thiền","","Bio quá ngắn hoặc trống",
"Ẩm Quang","","Bio quá ngắn hoặc trống",
"Ca Diếp Ba","","Bio quá ngắn hoặc trống",
"Ca Nhiếp Ba","","Bio quá ngắn hoặc trống",
"Đại Ca Diếp","","Bio quá ngắn hoặc trống",
"Ma Ha Ca Diếp","","Bio quá ngắn hoặc trống",
"Tây Thiên Thủ Truyền Ma Ha Ca Diếp Tôn Giả","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Hang Tân Bát La","","Bio quá ngắn hoặc trống",
"Núi Kê Túc Sơn","","Bio quá ngắn hoặc trống",
"Núi Kì Xà Quật","","Bio quá ngắn hoặc trống",
"Thành Vương Xá","","Bio quá ngắn hoặc trống",
"Truyền trao pháp tạng đầu tiên từ đức Phật","","Bio quá ngắn hoặc trống",
"Kết tập kinh điển lần thứ nhất","","Bio quá ngắn hoặc trống",
"Niêm Hoa Vi Tiếu","","Bio quá ngắn hoặc trống",
"A Nan","","Bio quá ngắn hoặc trống",
"Thích Ca Mâu Ni Phật","","Bio quá ngắn hoặc trống",
"Tung Sơn An Đức","","Bio quá ngắn hoặc trống",
"Nhĩ Tướng Hành Tu","","Bio quá ngắn hoặc trống",
"Ích Châu Hoài Quả","","Bio quá ngắn hoặc trống",
"Minh Thủy Hoài Trung","","Bio quá ngắn hoặc trống",
"Lô Thiên Đức Minh","","Bio quá ngắn hoặc trống",
"Vĩnh An Tuyết Phong","","Bio quá ngắn hoặc trống",
"Hồ Châu Thanh Tịnh","","Bio quá ngắn hoặc trống",
"Lộ Châu Huyền Vi","","Bio quá ngắn hoặc trống",
"Giang Châu Lô Sơn Nột","","Bio quá ngắn hoặc trống",
"Thập Tướng Thẩm Siêu","","Bio quá ngắn hoặc trống",
"Nam Nhạc Duy Kính","","Bio quá ngắn hoặc trống",
"Bảo Phước Siêu Ngộ","","Bio quá ngắn hoặc trống",
"Song Tuyền Lương Gia","","Bio quá ngắn hoặc trống",
"Phổ Thông Phổ Minh","","Bio quá ngắn hoặc trống",
"Triều Sơn Diên Tông","","Bio quá ngắn hoặc trống",
"Tân La Đại Vô Vy","","Bio quá ngắn hoặc trống",
"Đàm Châu Quy Sơn Thê","","Bio quá ngắn hoặc trống",
"Lạc Kinh Khế Hạc","","Bio quá ngắn hoặc trống",
"Cổ Điền Nguyên Nghiểm","","Bio quá ngắn hoặc trống",
"Cù Châu Nam Đài Nhân","","Bio quá ngắn hoặc trống",
"Phù Dung Như Thê","","Bio quá ngắn hoặc trống",
"Hàng Châu Long Tỉnh Thông","","Bio quá ngắn hoặc trống",
"Thiên Tông Hành Thao","","Bio quá ngắn hoặc trống",
"Thái Nguyên Phù","","Bio quá ngắn hoặc trống",
"Kính Thanh Đạo Phó","","Bio quá ngắn hoặc trống",
"Khê Sơn Chương","","Bio quá ngắn hoặc trống",
"Diên Phúc Tuệ Thăng","","Bio quá ngắn hoặc trống",
"Tịnh Từ Sư Nhất","","Bio quá ngắn hoặc trống",
"Triệt Thông Nghĩa Giới","","Bio quá ngắn hoặc trống",
"Thanh Phước Tâm An","","Bio quá ngắn hoặc trống",
"Thanh Liên Tâm Thiền","","Bio quá ngắn hoặc trống",
"Vân Ngoại Vân Tụ","","Bio quá ngắn hoặc trống",
"Chánh Bỉnh Vô Tướng","","Bio quá ngắn hoặc trống",
"Tính Định Tâm Châu","","Bio quá ngắn hoặc trống",
"Tâm Nghĩa Nhân Từ","","Bio quá ngắn hoặc trống",
"Đại Nghĩa Chí Hạo","","Bio quá ngắn hoặc trống",
"Tế Ngữ Chánh Dũng","","Bio quá ngắn hoặc trống",
"Tế Hẩu Khánh Liên","","Bio quá ngắn hoặc trống",
"Tế Duyên Quảng Giác","","Bio quá ngắn hoặc trống",
"Tế Căn Từ Chiếu","","Bio quá ngắn hoặc trống",
"Tế Dũng","","Bio quá ngắn hoặc trống",
"Tế Khoán Trừng Hưng","","Bio quá ngắn hoặc trống",
"Tế Ngạn Thanh Tùng","","Bio quá ngắn hoặc trống",
"Tế Thường An Dưỡng","","Bio quá ngắn hoặc trống",
"Tế Đài Khánh Thụy","","Bio quá ngắn hoặc trống",
"Tế Ý Hoằng Câu","","Bio quá ngắn hoặc trống",
"Tế Huyền Ứng Am","","Bio quá ngắn hoặc trống",
"Tế Quảng Phổ Chấn","","Bio quá ngắn hoặc trống",
"Đạo Xước","","Bio quá ngắn hoặc trống",
"Tây Hà Thiền Sư","","Bio quá ngắn hoặc trống",
"Thiền Sư","","Bio quá ngắn hoặc trống",
"Huyền Trung Tự","","Bio quá ngắn hoặc trống",
"Tinh Châu","","Bio quá ngắn hoặc trống",
"Vấn Thủy","","Bio quá ngắn hoặc trống",
"An Lạc Tập","","Bio quá ngắn hoặc trống",
"Tịnh Độ Luận","","Bio quá ngắn hoặc trống",
"Phát triển Tịnh Độ Tông","","Bio quá ngắn hoặc trống",
"Đạo Phủ","","Bio quá ngắn hoặc trống",
"Tăng Diễn","","Bio quá ngắn hoặc trống",
"Khai sáng Tịnh Độ Tông","","Bio quá ngắn hoặc trống",
"Đàm Loan","","Bio quá ngắn hoặc trống",
"Đàm Loan","","Bio quá ngắn hoặc trống",
"Vấn Thủy, Tinh Châu","","Bio quá ngắn hoặc trống",
"Vô Vi Nghĩa Tung","","Bio quá ngắn hoặc trống",
"Cửu Đảnh Từ Phổ","","Bio quá ngắn hoặc trống",
"Phổ Minh Đức Dụng","","Bio quá ngắn hoặc trống",
"Nam Minh Đạo Quảng","","Bio quá ngắn hoặc trống",
"Cao Am Viên Thanh","","Bio quá ngắn hoặc trống",
"Thị Giả Quả","","Bio quá ngắn hoặc trống",
"Diên Hồng Thiện","","Bio quá ngắn hoặc trống",
"Phổ Hiền Tiêu","","Bio quá ngắn hoặc trống",
"Quang Hóa Tường","","Bio quá ngắn hoặc trống",
"Liễu Minh","","Bio quá ngắn hoặc trống",
"Tịnh Nhân Khải","","Bio quá ngắn hoặc trống",
"Ca Tỳ La Vệ","","Bio quá ngắn hoặc trống",
"Hang Thất Diệp","","Bio quá ngắn hoặc trống",
"Sông Hằng","","Bio quá ngắn hoặc trống",
"Vườn Xoài","","Bio quá ngắn hoặc trống",
"Truyền trì kinh pháp","","Bio quá ngắn hoặc trống",
"Sáng lập giáo đoàn Tỳ Kheo Ni","","Bio quá ngắn hoặc trống",
"Xuất gia theo Phật","","Bio quá ngắn hoặc trống",
"Đề Bà Đạt Đa","","Bio quá ngắn hoặc trống",
"Đức Phật","","Bio quá ngắn hoặc trống",
"Ma Ha Ba Xà Ba Đề","","Bio quá ngắn hoặc trống",
"Mạt Điền Để Ca","","Bio quá ngắn hoặc trống",
"Thương Na Hòa Tu","","Bio quá ngắn hoặc trống",
"Ưu Ba Ly","","Bio quá ngắn hoặc trống",
"Vua A-xà-thế","","Bio quá ngắn hoặc trống",
"Vua Tỳ Xá Ly","","Bio quá ngắn hoặc trống",
"Miền trung du sông Hằng","","Bio quá ngắn hoặc trống",
"Nhạc Lộc Khuê","","Bio quá ngắn hoặc trống",
"Đạt Lượng Hưng Long","","Bio quá ngắn hoặc trống",
"Liễu Trí Huệ Nhựt","","Bio quá ngắn hoặc trống",
"Đạt Khoan Chánh An","","Bio quá ngắn hoặc trống",
"Đạt Thuyên Nhựt Chánh","","Bio quá ngắn hoặc trống",
"Song Lưu Úy Trì","","Bio quá ngắn hoặc trống",
"Phụng Tường Vô Cấu","","Bio quá ngắn hoặc trống",
"Nga Hồ Thiệu Thích","","Bio quá ngắn hoặc trống",
"Tuyết Giậu Chơn Phác","","Bio quá ngắn hoặc trống",
"Đại Xa Như Trường","","Bio quá ngắn hoặc trống",
"Bổn Quả Khoáng Viên","","Bio quá ngắn hoặc trống",
"Bổn Trú","","Bio quá ngắn hoặc trống",
"Bổn Lượng","","Bio quá ngắn hoặc trống",
"Tiếu Ông Diệu Trạm","","Bio quá ngắn hoặc trống",
"Tịnh Từ Văn","","Bio quá ngắn hoặc trống",
"Song Lâm Bằng","","Bio quá ngắn hoặc trống",
"Tuyên Châu Lạc Hà","","Bio quá ngắn hoặc trống",
"Dược Sơn Quỳ","","Bio quá ngắn hoặc trống",
"Kinh Nguyên Quang Lực","","Bio quá ngắn hoặc trống",
"Thứ Sử Lãng Châu Lý Cao","","Bio quá ngắn hoặc trống",
"Sư Tử Bồ Đề","","Bio quá ngắn hoặc trống",
"Sư Tử Tôn Giả","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Kế Tân","","Bio quá ngắn hoặc trống",
"Nam Thiên Trúc","","Bio quá ngắn hoặc trống",
"Tây Hải","","Bio quá ngắn hoặc trống",
"Truyền bá Phật giáo ở Bắc Ấn Độ","","Bio quá ngắn hoặc trống",
"Bị sát hại","","Bio quá ngắn hoặc trống",
"Trao pháp cho Bà Xá Tư Đa","","Bio quá ngắn hoặc trống",
"Đạt Ma Đạt","","Bio quá ngắn hoặc trống",
"Ba-lợi-ca","","Bio quá ngắn hoặc trống",
"Bà Xá","","Bio quá ngắn hoặc trống",
"Đô Lạc Già","","Bio quá ngắn hoặc trống",
"Ma Mục Đa","","Bio quá ngắn hoặc trống",
"Quang Thủ","","Bio quá ngắn hoặc trống",
"Trưởng giả","","Bio quá ngắn hoặc trống",
"Tư Đa","","Bio quá ngắn hoặc trống",
"Liễu Năng Ðức Chất","","Bio quá ngắn hoặc trống",
"Nam Hoa Minh","","Bio quá ngắn hoặc trống",
"Long Vương Vân","","Bio quá ngắn hoặc trống",
"Song Tuyền Nguyệt","","Bio quá ngắn hoặc trống",
"Long Trì Dự","","Bio quá ngắn hoặc trống",
"Thiên Ninh Kha","","Bio quá ngắn hoặc trống",
"Kim Sơn Kiên","","Bio quá ngắn hoặc trống",
"Diệu Phong Vân","","Bio quá ngắn hoặc trống",
"Uẩn Không Thường Trung","","Bio quá ngắn hoặc trống",
"Bạch Vân Vô Hưu","","Bio quá ngắn hoặc trống",
"Phước Thanh Sư Nguy","","Bio quá ngắn hoặc trống",
"Hồng Châu Lặc Đàm Ngộ","","Bio quá ngắn hoặc trống",
"Hòa Sơn Ngũ Âm","","Bio quá ngắn hoặc trống",
"Kính Sơn Như Diễm","","Bio quá ngắn hoặc trống",
"Hà trung","","Bio quá ngắn hoặc trống",
"Kim Địa","","Bio quá ngắn hoặc trống",
"Ma Thiền Đề","","Bio quá ngắn hoặc trống",
"Mạt Đàn Địa","","Bio quá ngắn hoặc trống",
"Mạt Điền","","Bio quá ngắn hoặc trống",
"Mạt Điền Đạc Ca","","Bio quá ngắn hoặc trống",
"Mạt Điền Đề","","Bio quá ngắn hoặc trống",
"Mạt Điền Để Ca","","Bio quá ngắn hoặc trống",
"Mạt Điền Địa","","Bio quá ngắn hoặc trống",
"Mạt Điền Địa Na","","Bio quá ngắn hoặc trống",
"Mạt Xiển Đề","","Bio quá ngắn hoặc trống",
"Nhật trung","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Thủy trung","","Bio quá ngắn hoặc trống",
"Trung","","Bio quá ngắn hoặc trống",
"Đà Phả La","","Bio quá ngắn hoặc trống",
"Truyền bá Phật pháp tại Ca Thấp Di La","","Bio quá ngắn hoặc trống",
"Thụ giới và chứng quả A La Hán ở sông Hằng","","Bio quá ngắn hoặc trống",
"Truyền bá Phật pháp ở Ca Thấp Di La, hàng phục Long Vương và thuyết giảng Kinh Độc Thí Dụ","","Bio quá ngắn hoặc trống",
"Ma Ha Ca Diếp","","Bio quá ngắn hoặc trống",
"Tôn Giả A Nan","","Bio quá ngắn hoặc trống",
"Ưu Bà Cúc Đa","","Bio quá ngắn hoặc trống",
"Ưu Ba Cúc Đa","","Bio quá ngắn hoặc trống",
"Vua A Dục","","Bio quá ngắn hoặc trống",
"Ấn Độ","","Bio quá ngắn hoặc trống",
"Thanh Dương Thông Huyền","","Bio quá ngắn hoặc trống",
"Thiều Châu Tây Hồ","","Bio quá ngắn hoặc trống",
"Thư Châu Bạch Thủy","","Bio quá ngắn hoặc trống",
"Đàm Châu Văn Thù","","Bio quá ngắn hoặc trống",
"Ích Châu Bạch","","Bio quá ngắn hoặc trống",
"Thiên Đồng Hàm Khải","","Bio quá ngắn hoặc trống",
"Minh Châu Thiên Đồng Nghĩa","","Bio quá ngắn hoặc trống",
"Tân La Kim Tạng","","Bio quá ngắn hoặc trống",
"Thái Nguyên Tư Thánh Phương","","Bio quá ngắn hoặc trống",
"Thanh Lâm Sư Kiền","","Bio quá ngắn hoặc trống",
"Tổ Ấn Cư Nạp","","Bio quá ngắn hoặc trống",
"Thiệt Diệu Chánh Hiền","","Bio quá ngắn hoặc trống",
"Thiệt Lãm Chí Kiên","","Bio quá ngắn hoặc trống",
"Thiệt Thể Triêm Ân","","Bio quá ngắn hoặc trống",
"Thiệt Hội Viên Quang","","Bio quá ngắn hoặc trống",
"Thiên Đồng Thanh Toại","","Bio quá ngắn hoặc trống",
"Đại Nguyệt Linh Chiếu","","Bio quá ngắn hoặc trống",
"Tánh Huệ Nhất Nguyên","","Bio quá ngắn hoặc trống",
"Tánh Tịnh Nhất Xương","","Bio quá ngắn hoặc trống",
"Tánh Toàn Nhất Thể","","Bio quá ngắn hoặc trống",
"Bắc Giang","","Bio quá ngắn hoặc trống",
"Hồ Đường","","Bio quá ngắn hoặc trống",
"Lượng trưởng lão","","Bio quá ngắn hoặc trống",
"Nhượng","","Bio quá ngắn hoặc trống",
"Đạo Nguyên Viên Dung","","Bio quá ngắn hoặc trống",
"Đức Phong Tiến Thịnh","","Bio quá ngắn hoặc trống",
"Thanh Viên Nhân Từ","","Bio quá ngắn hoặc trống",
"Đức Bản Tiến Thông","","Bio quá ngắn hoặc trống",
"Phương Lai Xương Viễn","","Bio quá ngắn hoặc trống",
"Hoát Ngộ Long Tham","","Bio quá ngắn hoặc trống",
"Thiên Vương Tạng Chủ Thông","","Bio quá ngắn hoặc trống",
"Tiến Phước Trăn","","Bio quá ngắn hoặc trống",
"Báo Ân Thông","","Bio quá ngắn hoặc trống",
"Ngưỡng Sơn Quý","","Bio quá ngắn hoặc trống",
"Ô Cự Như Ý","","Bio quá ngắn hoặc trống",
"Phật Tường Đức Liên","","Bio quá ngắn hoặc trống",
"Phật Thiền Hoa Nghiêm","","Bio quá ngắn hoặc trống",
"Phật Bảo Pháp Hóa","","Bio quá ngắn hoặc trống",
"Trường Viễn","","Bio quá ngắn hoặc trống",
"Thiên Nham Nguyên Trường","","Bio quá ngắn hoặc trống",
"Thiệt Kiến Liễu Triệt","","Bio quá ngắn hoặc trống",
"Tế Trí Hữu Phỉ","","Bio quá ngắn hoặc trống",
"Thiệt Tâm Thiện Trực","","Bio quá ngắn hoặc trống",
"Trung Phong Minh Bổn","","Bio quá ngắn hoặc trống",
"Cao Phong Nguyên Diệu","","Bio quá ngắn hoặc trống",
"Thiên Mục Duy Tắc","","Bio quá ngắn hoặc trống",
"Đinh Bảo Phong Trí","","Bio quá ngắn hoặc trống",
"Giới Hải Vĩnh Từ","","Bio quá ngắn hoặc trống",
"Tông Thiền Bản Thụy","","Bio quá ngắn hoặc trống",
"Tế Tín Chánh Trực","","Bio quá ngắn hoặc trống",
"Tế Triệt Giác Nguyên","","Bio quá ngắn hoặc trống",
"Thiệt Thoại Tánh Tường","","Bio quá ngắn hoặc trống",
"Phật Chí Đức Hạnh","","Bio quá ngắn hoặc trống",
"Thừa Tướng Vương Tùy","","Bio quá ngắn hoặc trống",
"Thiết Phật Trí Trung","","Bio quá ngắn hoặc trống",
"Liễu Diệu Chánh Quang","","Bio quá ngắn hoặc trống",
"Toàn Nghĩa Chơn Thường","","Bio quá ngắn hoặc trống",
"Toàn Ðức Thiệu Long","","Bio quá ngắn hoặc trống",
"Toàn Đạo Mật Hạnh","","Bio quá ngắn hoặc trống",
"Toàn Thiện Đức Hoằng","","Bio quá ngắn hoặc trống",
"Lưu Thiết Ma","","Bio quá ngắn hoặc trống",
"Đại Hồng Trí","","Bio quá ngắn hoặc trống",
"Tây Thiền Viễn","","Bio quá ngắn hoặc trống",
"Đại Dương Ðán","","Bio quá ngắn hoặc trống",
"Thiện Quang Tấn","","Bio quá ngắn hoặc trống",
"Tôn Giả Hạc Lặc Na","","Bio quá ngắn hoặc trống",
"Đà Đô","","Bio quá ngắn hoặc trống",
"Nguyệt Chi","","Bio quá ngắn hoặc trống",
"Rừng Ấn Độ","","Bio quá ngắn hoặc trống",
"Truyền pháp Thiền Tông","","Bio quá ngắn hoặc trống",
"Truyền tâm ấn","","Bio quá ngắn hoặc trống",
"Xuất gia","","Bio quá ngắn hoặc trống",
"Kim Quang","","Bio quá ngắn hoặc trống",
"Thiên Thắng","","Bio quá ngắn hoặc trống",
"Vô Úy Hải","","Bio quá ngắn hoặc trống",
"Đơn Hà Tuệ Cần","","Bio quá ngắn hoặc trống",
"Lục Hợp Đại Ẩn","","Bio quá ngắn hoặc trống",
"Văn Thù Ứng Chân","","Bio quá ngắn hoặc trống",
"Đức Sơn Duyên Mật","","Bio quá ngắn hoặc trống",
"TT Đức Nguyên Tiến Đạt","","Bio quá ngắn hoặc trống",
"Chương Vạn Quảng Ðộ","","Bio quá ngắn hoặc trống",
"Chương Nguyệt Long Tạng","","Bio quá ngắn hoặc trống",
"Pháp Nhân Thiên Trường","","Bio quá ngắn hoặc trống",
"Dục Vương Đại Quan","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Hoa Thị Thành","","Bio quá ngắn hoặc trống",
"Ma Kiệt Đà","","Bio quá ngắn hoặc trống",
"Truyền bá Phật pháp khắp miền Tây Ấn","","Bio quá ngắn hoặc trống",
"Độ Long Thọ và 500 đại long xuất gia","","Bio quá ngắn hoặc trống",
"Được thái tử Vân Tự Tại mời vào cung","","Bio quá ngắn hoặc trống",
"Gặp Ngài Mã Minh và chứng ngộ chân lý","","Bio quá ngắn hoặc trống",
"Tiến đến hang đá gặp rắn và ông già","","Bio quá ngắn hoặc trống",
"Long Thọ","","Bio quá ngắn hoặc trống",
"Vân Tự Tại","","Bio quá ngắn hoặc trống",
"Trần Châu Linh Thông","","Bio quá ngắn hoặc trống",
"Lương Sơn Duyên Quán","","Bio quá ngắn hoặc trống",
"Hoa Tạng Tuệ Tộ","","Bio quá ngắn hoặc trống",
"Đông Cốc Minh Quang","","Bio quá ngắn hoặc trống",
"Tuyết Đậu Hoán","","Bio quá ngắn hoặc trống",
"Trượng Tích Sùng Kiên","","Bio quá ngắn hoặc trống",
"Tuyết Đậu Đức Vân","","Bio quá ngắn hoặc trống",
"Đạo Sinh Minh Đạt","","Bio quá ngắn hoặc trống",
"Định Lâm Cảnh Phượng","","Bio quá ngắn hoặc trống",
"Kim Lăng Pháp Trì","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Trương","","Bio quá ngắn hoặc trống",
"Diên Tộ Tự","","Bio quá ngắn hoặc trống",
"Kim Lăng","","Bio quá ngắn hoặc trống",
"Hoằng dương tông phong Ngưu Đầu Tông","","Bio quá ngắn hoặc trống",
"Kế thừa môn phong Ngưu Đầu Tông","","Bio quá ngắn hoặc trống",
"Tham lễ Hoằng Nhẫn Đại Sư","","Bio quá ngắn hoặc trống",
"Tham vấn Thiền Sư Huệ Phương","","Bio quá ngắn hoặc trống",
"Xuất gia","","Bio quá ngắn hoặc trống",
"Giang Ninh","","Bio quá ngắn hoặc trống",
"Thuần Kiệt Tánh Khuê","","Bio quá ngắn hoặc trống",
"Đoan Húc Như Hoằng","","Bio quá ngắn hoặc trống",
"Từ Vân Hải Tuấn","","Bio quá ngắn hoặc trống",
"Lộc Môn Tự Giác","","Bio quá ngắn hoặc trống",
"Thiên Đồng Như Tịnh","","Bio quá ngắn hoặc trống",
"Cô Thiềm Oánh","","Bio quá ngắn hoặc trống",
"Thạch Lâm Tú","","Bio quá ngắn hoặc trống",
"Phục Ngưu Nguyên Thông","","Bio quá ngắn hoặc trống",
"Các Châu Thự Sơn","","Bio quá ngắn hoặc trống",
"Pháp Hiền","","Bio quá ngắn hoặc trống",
"Tôn Giả Xà Dạ Đa","","Bio quá ngắn hoặc trống",
"La Duyệt","","Bio quá ngắn hoặc trống",
"Miền Bắc Thiên Trúc","","Bio quá ngắn hoặc trống",
"Truyền pháp Thiền Tông Ấn Độ","","Bio quá ngắn hoặc trống",
"Đông Dương Huyền Sách","","Bio quá ngắn hoặc trống",
"Tịnh Nhân Kế Thành","","Bio quá ngắn hoặc trống",
"Thần Quang Ðạo Tân","","Bio quá ngắn hoặc trống",
"Trường Lô Tuệ Ngộ","","Bio quá ngắn hoặc trống",
"U Nham Tử Vịnh","","Bio quá ngắn hoặc trống",
"Long Tường Ðạo Huy","","Bio quá ngắn hoặc trống",
"Thọ Sơn Ðức Sơ","","Bio quá ngắn hoặc trống",
"Năng Nhân Sùng Thọ","","Bio quá ngắn hoặc trống",
"Thượng Lam Tổ Khanh","","Bio quá ngắn hoặc trống",
"Chương Trang Quảng Chấn","","Bio quá ngắn hoặc trống",
"Bách Trượng Cổ Thanh Quy","","Bio quá ngắn hoặc trống",
"Hoa Lâm Giác","","Bio quá ngắn hoặc trống",
"Phúc Châu Đại An","","Bio quá ngắn hoặc trống",
"Cổ Linh Thần Tán","","Bio quá ngắn hoặc trống",
"Hoàng Bá Hy Vận","","Bio quá ngắn hoặc trống",
"Luật sư Pháp Triều","","Bio quá ngắn hoặc trống",
"Mã Tổ Đạo Nhất","","Bio quá ngắn hoặc trống",
"Tây Sơn Huệ Chiếu","","Bio quá ngắn hoặc trống",
"Luật sư Pháp Triều","","Bio quá ngắn hoặc trống",
"Tây Sơn Huệ Chiếu","","Bio quá ngắn hoặc trống",
"Thạch Môn Tuệ Triệt","","Bio quá ngắn hoặc trống",
"Tương Châu Thạch Môn Hiến","","Bio quá ngắn hoặc trống",
"Linh Trúc Thủ Trân","","Bio quá ngắn hoặc trống",
"Thạch Môn Thiệu Viễn","","Bio quá ngắn hoặc trống",
"Vô Minh Tuệ Kinh","","Bio quá ngắn hoặc trống",
"Tùy Châu Sùng Bảo","","Bio quá ngắn hoặc trống",
"Tương Châu Huệ Viễn","","Bio quá ngắn hoặc trống",
"Lỗ Châu Thiện Lai","","Bio quá ngắn hoặc trống",
"Vân Cư Thanh Tích","","Bio quá ngắn hoặc trống",
"Pháp Tế Hải Thiềm","","Bio quá ngắn hoặc trống",
"Tịnh Chúng Tiên","","Bio quá ngắn hoặc trống",
"Long Hoa Tề Nhạc","","Bio quá ngắn hoặc trống",
"Đột Không Trí Bản","","Bio quá ngắn hoặc trống",
"Vô Tận Tuệ Hải","","Bio quá ngắn hoặc trống",
"Bích Thiên Thanh Không","","Bio quá ngắn hoặc trống",
"Vô Huyễn Tịnh Xung","","Bio quá ngắn hoặc trống",
"Bạch Vân Không Độ","","Bio quá ngắn hoặc trống",
"Nguyệt Khê Diệu Trừng","","Bio quá ngắn hoặc trống",
"Di Phong Kính Ninh","","Bio quá ngắn hoặc trống",
"Vô Tận Tuệ Hải","","Bio quá ngắn hoặc trống",
"Vô Huyễn Tịnh Xung","","Bio quá ngắn hoặc trống",
"Phương Sơn Tuệ Bảo","","Bio quá ngắn hoặc trống",
"Đoạn Kiều Diệu Luân","","Bio quá ngắn hoặc trống",
"Bích Phong Tánh Kim","","Bio quá ngắn hoặc trống",
"Chánh Truyền Huyễn Hữu","","Bio quá ngắn hoặc trống",
"Ca Na Đề Bà","","Bio quá ngắn hoặc trống",
"Độc Nhãn Bồ Tát","","Bio quá ngắn hoặc trống",
"Phiến Mục Đề Bà","","Bio quá ngắn hoặc trống",
"Thánh Đề Bà","","Bio quá ngắn hoặc trống",
"Thánh Thiên","","Bio quá ngắn hoặc trống",
"Thiền sư","","Bio quá ngắn hoặc trống",
"Ba Liên Phất","","Bio quá ngắn hoặc trống",
"Na Lan Đà","","Bio quá ngắn hoặc trống",
"Raṅganātha, Kiến Chí (kāñcī)","","Bio quá ngắn hoặc trống",
"Tỳ La","","Bio quá ngắn hoặc trống",
"Bách Luận (śataśāstra)","","Bio quá ngắn hoặc trống",
"Tứ bách luận (catuḥśataka)","","Bio quá ngắn hoặc trống",
"Dương cao cây kiếm phá tà và điều phục ngoại đạo","","Bio quá ngắn hoặc trống",
"Thành lập nhiều tu viện ở Trung Ấn và Bắc Ấn","","Bio quá ngắn hoặc trống",
"Bị ngoại đạo giết chết","","Bio quá ngắn hoặc trống",
"Móc mắt cúng dường tượng Đại Tự Tại Thiên","","Bio quá ngắn hoặc trống",
"Tranh luận và thắng Dhurdhasakala tại Na Lan Đà","","Bio quá ngắn hoặc trống",
"La Hầu La Đa","","Bio quá ngắn hoặc trống",
"Phạm Ma Tịnh Đức","","Bio quá ngắn hoặc trống",
"Long Thọ","","Bio quá ngắn hoặc trống",
"Song Tuyền Nhân Úc","","Bio quá ngắn hoặc trống",
"Tín Châu Khang Quốc Diệu","","Bio quá ngắn hoặc trống",
"Quân Châu Động Sơn Lẫm","","Bio quá ngắn hoặc trống",
"Giang Châu Khánh Vân Chân","","Bio quá ngắn hoặc trống",
"Song Phong Tuệ Chân","","Bio quá ngắn hoặc trống",
"Tín Châu Tây Thiền Khâm","","Bio quá ngắn hoặc trống",
"Mi Châu Phước Hóa Quang","","Bio quá ngắn hoặc trống",
"Lô Châu Bắc Thiên Vương Vi","","Bio quá ngắn hoặc trống",
"Ba Tiêu Hoằng Nghĩa","","Bio quá ngắn hoặc trống",
"Đông Thiên Vương Quảng Từ","","Bio quá ngắn hoặc trống",
"Bảo An Sư Mật","","Bio quá ngắn hoặc trống",
"Hồng Châu Vân Cư Dung","","Bio quá ngắn hoặc trống",
"Khai Tiên Thanh Diệu","","Bio quá ngắn hoặc trống",
"Phụng Quốc Thanh Hải","","Bio quá ngắn hoặc trống",
"Nga Hồ Vân Chấn","","Bio quá ngắn hoặc trống",
"Thiều Châu Đại Phạm Viên","","Bio quá ngắn hoặc trống",
"Dược Sơn Viên Quang","","Bio quá ngắn hoặc trống",
"Thiều Châu Từ Quang","","Bio quá ngắn hoặc trống",
"Thiều Châu Đăng Phong","","Bio quá ngắn hoặc trống",
"Đại Thánh Thủ Hiền","","Bio quá ngắn hoặc trống",
"Lộ Phủ Diệu Thắng Trăn","","Bio quá ngắn hoặc trống",
"Hưng Nguyên Phổ Thông Phong","","Bio quá ngắn hoặc trống",
"Hồ Nam Vĩnh An Lãng","","Bio quá ngắn hoặc trống",
"Hồ Nam Đàm Vinh","","Bio quá ngắn hoặc trống",
