"monk","label"
"ex:monk/sa_di_ni_an_than_to_niem","Sa Di Ni Ấn Thận Tổ Niệm"
"ex:monk/sieu_hoa_tinh","Siêu Hóa Tỉnh"
"ex:monk/sieu_ngan","Siêu Ngạn"
"ex:monk/song_khe_duan_quang","Song Khê Duẫn Quang"
"ex:monk/song_khe_an","Song Khê Ấn"
"ex:monk/song_long_bang","Song Lâm Bằng"
"ex:monk/song_lam_duc_dung","Song Lâm Đức Dụng"
"ex:monk/song_lanh_hoa","Song Lãnh Hóa"
"ex:monk/song_linh_huyen_chan","Song Lĩnh Huyền Chân"
"ex:monk/song_phong_canh_te","Song Phong Cảnh Tề"
"ex:monk/song_phong_co","Song Phong Cổ"
"ex:monk/song_phong_tinh_hoi","Song Phong Tỉnh Hồi"
"ex:monk/sung_phuoc_dien_giao","Sùng Phước Diễn Giáo"
"ex:monk/sung_thang_ky","Sùng Thắng Kỳ"
"ex:monk/so_son_lieu_thuong","Sơ Sơn Liễu Thường"
"ex:monk/so_son_nhu_ban","Sơ Sơn Như Bản"
"ex:monk/so_son_quang_nhan","Sơ Sơn Quang Nhân"
"ex:monk/khai_thanh_bao_tinh","Sơn Chủ Khai Thánh Bảo Tình"
"ex:monk/loc_mon_tue_chieu","Sơn Chủ Lộc Môn Tuệ Chiêu"
"ex:monk/son_chu_dong_lam_uc","Sơn Chủ Ðông Lâm Úc"
"ex:monk/so_an_hue_phuong","Sở An Huệ Phương"
"ex:monk/tkn_hue_huong_chon_chat","TKN Huệ Hương Chơn Chất"
"ex:monk/dao_xuoc","TS Đạo_Xước"
"ex:monk/tt_thich_hanh_tuan","TT Thích Hạnh Tuấn"
"ex:monk/tt_thich_minh_dung","TT Thích Minh Dung"
"ex:monk/tt_thich_ong_trung","TT Thích Ðồng Trung"
"ex:monk/tt_thich_dong_chon","TT Thích Đồng Chơn"
"ex:monk/tt_ong_vien_vien_uc","TT Ðồng Viên Viên Ðức"
"ex:monk/tam_binh_nghia_trung","Tam Bình Nghĩa Trung"
"ex:monk/tam_giao_tri_tung","Tam Giao Trí Tung"
"ex:monk/tam_giac_linh_khue","Tam Giác Linh Khuê"
"ex:monk/tam_giac_tri_nghieu","Tam Giác Trí Nghiêu"
"ex:monk/tam_giac_tue_trach","Tam Giác Tuệ Trạch"
"ex:monk/tam_phong_an","Tam Phong Ấn"
"ex:monk/tam_thanh_hue_nhien","Tam Thánh Huệ Nhiên"
"ex:monk/tam_thanh_ke_xuong","Tam Thánh Kế Xương"
"ex:monk/tam_tang_na_de","Tam Tạng Na Đề"
"ex:monk/tam_to_phap_tong","Tam Tổ Pháp Tông"
"ex:monk/thai_chau_thang_quang","Thai Châu Thắng Quang"
"ex:monk/thanh_binh_linh_tuan","Thanh Bình Linh Tuân"
"ex:monk/thanh_binh_so_kim","Thanh Bình Sở Kim"
"ex:monk/thanh_hoa_toan_pho","Thanh Hóa Toàn Phó"
"ex:monk/thanh_luong_duc_hong","Thanh Lương Ðức Hồng"
"ex:monk/thanh_nguyen_duy_tin","Thanh Nguyên Duy Tín"
"ex:monk/thanh_nguyen_hanh_tu","Thanh Nguyên Hành Tư"
"ex:monk/bao_an_thanh","Thanh Nguyên Như"
"ex:monk/thanh_nguyen_nhu","Thanh Nguyên Như"
"ex:monk/thanh_tu","Thanh Từ"
"ex:monk/thanh_vien_phat_nhan","Thanh Viễn Phật Nhãn"
"ex:monk/thanh_an_duy_thuc","Thanh Ẩn Duy Thục"
"ex:monk/thanh_an_thanh_nguyen","Thanh Ẩn Thanh Nguyên"
"ex:monk/thao_xao_thong_thanh","Thao Xảo Thông Thánh"
"ex:monk/thien_hoang_dao_ngo","Thiên Hoàng Đạo Ngô"
"ex:monk/thien_hoang_dao_ngo","Thiên Hoàng Đạo Ngộ"
"ex:monk/thien_muc_duy_tac","Thiên Mục Duy Tắc"
"ex:monk/thien_nham_nguyen_truong","Thiên Nham Nguyên Trường"
"ex:monk/thien_ninh_pham_tu","Thiên Ninh Phạm Tư"
"ex:monk/thien_phong_giac","Thiên Phong Giác"
"ex:monk/thien_thai_pho_ngan","Thiên Thai Phổ Ngạn"
"ex:monk/thien_dai_van_cu_tri","Thiên Thai Vân Cư Trí"
"ex:monk/thien_thanh_hao_thai","Thiên Thánh Hạo Thái"
"ex:monk/thien_tru_sung_hue","Thiên Trụ Sùng Huệ"
"ex:monk/thien_tue_bao_chuong","Thiên Tuế Bảo Chưởng"
"ex:monk/thien_vuong_chi","Thiên Vương Chí"
"ex:monk/thien_vuong_dao_ngo","Thiên Vương Đạo Ngộ"
"ex:monk/thien_dong_lieu_phac","Thiên Đồng Liễu Phác"
"ex:monk/thien_dong_pho_giao","Thiên Đồng Phổ Giao"
"ex:monk/thien_dong_thanh_toai","Thiên Đồng Thanh Toại"
"ex:monk/thien_dong_tinh_toan","Thiên Đồng Tịnh Toàn"
"ex:monk/thien_dong_dam_hoa","Thiên Đồng Đàm Hoa"
"ex:monk/thiet_tho_chanh_khoa","Thiệt Thọ Chánh Khóa"
"ex:monk/thiet_thuan_hue_truong","Thiệt Thuận Huệ Trương"
"ex:monk/thiet_dam_chanh_luan","Thiệt Đàm Chánh Luân"
"ex:monk/thiet_phat_tri_trung","Thiết Phật Trí Trung"
"ex:monk/thieu_chau_khong_nguyen","Thiều Châu Khổng Nguyên"
"ex:monk/thieu_chau_phap_hai","Thiều Châu Pháp Hải"
"ex:monk/thien_khanh_thu_long","Thiện Khánh Thủ Long"
"ex:monk/thien_phuc","Thiện Phục"
"ex:monk/thien_tu_thuong_khai","Thiện Từ Thường Khai"
"ex:monk/thien_dao","Thiện Đạo"
"ex:monk/thiep_chau_mau_nguyen","Thiệp Châu Mậu Nguyên"
"ex:monk/thiet_bao_cam_ung","Thiệt Bảo Cảm Ứng"
"ex:monk/thiet_dinh_an_triem","Thiệt Dinh Ân Triêm"
"ex:monk/thiet_dieu_chanh_hien","Thiệt Diệu Chánh Hiền"
"ex:monk/thiet_hoi_vien_quang","Thiệt Hội Viên Quang"
"ex:monk/thiet_kien_lieu_triet","Thiệt Kiến Liễu Triệt"
"ex:monk/thiet_lam_chi_kien","Thiệt Lãm Chí Kiên"
"ex:monk/thiet_luong","Thiệt Lương"
"ex:monk/thiet_thoai_tanh_tuong","Thiệt Thoại Tánh Tường"
"ex:monk/thiet_thanh_lieu_dat","Thiệt Thành Liễu Đạt"
"ex:monk/thiet_the_triem_an","Thiệt Thể Triêm Ân"
"ex:monk/thiet_tanh_tri_hai","Thiệt Tánh Trí Hải"
"ex:monk/thiet_tam_thien_truc","Thiệt Tâm Thiện Trực"
"ex:monk/thiet_luong","Thiệt Uyên Chí Bảo"
"ex:monk/thiet_uyen_chi_bao","Thiệt Uyên Chí Bảo"
"ex:monk/thiet_uy_khanh_van","Thiệt Úy Khánh Vân"
"ex:monk/thiet_dam_chanh_luan","Thiệt Đàm Chánh Luân"
"ex:monk/thiet_dang_bao_quang","Thiệt Đăng Bảo Quang"
"ex:monk/thiet_dia_phap_an","Thiệt Địa Pháp Ấn"
"ex:monk/thuan_kiet_tanh_khue","Thuần Kiệt Tánh Khuê"
"ex:monk/thanh_chi_minh_dung","Thành Chí Minh Dung"
"ex:monk/thanh_ngo_nghiem_am","Thành Ngộ Nghiêm Am"
"ex:monk/thanh_nhac_an_son","Thành Nhạc Ẩn Sơn"
"ex:monk/pham_huyen_quan","Thành Đô Phạm Huyện Quân"
"ex:monk/thanh_do_the_ky","Thành Đô Thế Kỳ"
"ex:monk/thanh_dang_minh_luong","Thành Đẳng Minh Lượng"
"ex:monk/thai_binh_an","Thái Bình An"
"ex:monk/thai_binh_hue_can_phat_giam","Thái Bình Huệ Cần Phật Giám"
"ex:monk/thai_son_tri_kien","Thái Sơn Trí Kiên"
"ex:monk/thai_tu_dao_nhat","Thái Tử Ðạo Nhất"
"ex:monk/thai_tu_dong_quang","Thái Tử Ðạo Nhất"
"ex:monk/thai_tu_dong_quang","Thái Tử Đồng Quảng"
"ex:monk/thanh_thien_hoang_chinh","Thánh Thiện Hoằng Chính"
"ex:monk/the_thang_ke_sieu","Thê Thắng Kế Siêu"
"ex:monk/thich_ca_mau_ni_phat","Thích Ca Mâu Ni Phật"
"ex:monk/chuong_binh","Thích Chương Bình"
"ex:monk/thich_nu_chuc_tam","Thích Nữ Chúc Tâm"
"ex:monk/thich_ca_mau_ni_phat","Thích_Ca_Mâu_Ni_Phật"
"ex:monk/thuy_nham_kha_chan","Thúy Nham Khả Chân"
"ex:monk/thuy_vi_vo_hoc","Thúy Vi Vô Học"
"ex:monk/thuy_nham_kha_chan","Thúy nham Khả Chân"
"ex:monk/thu_ky_nam","Thư Ký Nam"
"ex:monk/thuong_chau_me_thuong","Thương Châu Mễ Thương"
"ex:monk/thuong_na_hoa_tu","Thương Na Hòa Tu"
"ex:monk/thuong_lam_thuan","Thượng Lam Thuận"
"ex:monk/co_son_to_tran","Thượng Phong Bản Tài"
"ex:monk/thuong_phong_ban_tai","Thượng Phong Bản Tài"
"ex:monk/thuong_phong_tue_hoa","Thượng Phong Tuệ Hòa"
"ex:monk/thuong_phong_tho_tu","Thượng Phong Tổ Tú"
"ex:monk/thuong_phuong_nhat_ich","Thượng Phương Nhật Ích"
"ex:monk/thach_co_dong_chau","Thạch Cổ Ðộng Châu"
"ex:monk/thach_cung_hue_tang","Thạch Củng Huệ Tạng"
"ex:monk/thach_cuu","Thạch Cữu"
"ex:monk/thach_lam","Thạch Lâm"
"ex:monk/thach_mon_nha","Thạch Môn Nhã"
"ex:monk/thach_mon_thu_tan","Thạch Môn Thủ Tấn"
"ex:monk/thach_suong_khanh_chu","Thạch Sương Khánh Chư"
"ex:monk/thach_suong_phap_vinh","Thạch Sương Pháp Vĩnh"
"ex:monk/thach_suong_so_vien","Thạch Sương Sở Viên"
"ex:monk/thach_suong_thu_ton","Thạch Sương Thủ Tôn"
"ex:monk/thach_suong_tanh_khong","Thạch Sương Tánh Không"
"ex:monk/thach_suong_tong_giam","Thạch Sương Tông Giám"
"ex:monk/thach_suong_dai_thien","Thạch Sương Đại Thiện"
"ex:monk/thach_that_thien_dao","Thạch Thất Thiện Đạo"
"ex:monk/thach_dinh_to_tuyen","Thạch Đình Tổ Tuyền"
"ex:monk/thach_dau_hy_thien","Thạch Đầu Hy Thiên"
"ex:monk/thach_dau_tu_hoi","Thạch Đầu Tự Hồi"
"ex:monk/thao_y_nham_khanh","Thảo Y Nham Khánh"
"ex:monk/than_danh_hong_nhan","Thần Đảnh Hồng Nhân"
"ex:monk/thang_nghiep_duy_huong","Thắng Nghiệp Duy Hưởng"
"ex:monk/thang_nhan_ham_tinh","Thắng Nhân Hàm Tỉnh"
"ex:monk/thi_an_dieu_tho","Thị An Diệu Thọ"
"ex:monk/thi_an_phuoc_binh","Thị An Phước Bình"
"ex:monk/thi_binh_dieu_khai","Thị Bình Diệu Khai"
"ex:monk/thi_ban_hanh_thien","Thị Bản Hạnh Thiện"
"ex:monk/thi_chi_dieu_qua","Thị Chi Diệu Quả"
"ex:monk/thi_chi_phuoc_ho","Thị Chí Phước Hộ"
"ex:monk/thi_canh_vien_minh","Thị Cảnh Viên Minh"
"ex:monk/thi_hue_bao_an","Thị Huệ Bảo An"
"ex:monk/thi_hon_nhon_tho","Thị Hớn Nhơn Thọ"
"ex:monk/thi_khai_ong_minh","Thị Khai Ðỗng Minh"
"ex:monk/thi_long","Thị Long"
"ex:monk/thi_lac_hung_tu","Thị Lạc Hưng Từ"
"ex:monk/thi_niem_phuoc_ninh","Thị Niệm Phước Ninh"
"ex:monk/thi_nang_tri_huu","Thị Năng Trí Hữu"
"ex:monk/thi_thanh_vo_vi","Thị Thanh Vô Vi"
"ex:monk/thi_thuy_quang_duc","Thị Thuỷ Quảng Đức"
"ex:monk/thi_thuong_bao_phuoc","Thị Thượng Bảo Phước"
"ex:monk/thi_tho_nhon_hien","Thị Thọ Nhơn Hiền"
"ex:monk/thi_trinh","Thị Trình"
"ex:monk/thi_tin_phuoc_tri","Thị Tín Phước Trí"
"ex:monk/tho_chau_thien_thieu_tong","Thọ Châu Thiệu Tông"
"ex:monk/tho_chau_tri_thong","Thọ Châu Trí Thông"
"ex:monk/tho_chau_dao_tho","Thọ Châu Đạo Thọ"
"ex:monk/tho_ninh_thien_tu","Thọ Ninh Thiện Tư"
"ex:monk/tho_ninh_dao_hoan","Thọ Ninh Ðạo Hoàn"
"ex:monk/tho_thanh_so_van","Thọ Thánh Sở Văn"
"ex:monk/thuy_long_vien_tue_cung","Thụy Long Viện Tuệ Cung"
"ex:monk/thuy_nham_quang_muc","Thụy Nham Quang Mục"
"ex:monk/thuy_nham_tri_tai","Thụy Nham Trí Tài"
"ex:monk/thu_son_hoai_chi","Thủ Sơn Hoài Chí"
"ex:monk/thu_son_tinh_niem","Thủ Sơn Tỉnh Niệm"
"ex:monk/thu_son_xu_khe","Thủ Sơn Xử Khuê"
"ex:monk/thu_dao_tuc_tien","Thủ Đạo Tục Tiên"
"ex:monk/thuy_khong","Thủy Không"
"ex:monk/thua_hy_ung_duyet","Thừa Hy Ứng Duyệt"
"ex:monk/thua_thien_tri_duc","Thừa Thiên Trí Dục"
"ex:monk/thua_thien_tue_lien","Thừa Thiên Tuệ Liên"
"ex:monk/thua_thien_tu_hien","Thừa Thiên Tự Hiền"
"ex:monk/vuong_tuy","Thừa Tướng Vương Tùy"
"ex:monk/tien_an_khanh_tuong","Tiên An Khánh Tường"
"ex:monk/tien_giac_hai_tinh","Tiên Giác Hải Tịnh"
"ex:monk/tien_hue_tinh_nhan","Tiên Huệ Tịnh Nhãn"
"ex:monk/tien_thien","Tiên Thiên"
"ex:monk/tien_thuong_vien_trung","Tiên Thường Viên Trừng"
"ex:monk/tieu_dao","Tiêu Dao"
"ex:monk/tien_phuc_dao_sinh","Tiến Phúc Đạo Sinh"
"ex:monk/tien_phuoc_trach_sung","Tiến Phước Trạch Sùng"
"ex:monk/tien_phuoc_dao_anh","Tiến Phước Ðạo Anh"
"ex:monk/tieu_ong_sieu_tram","Tiếu Ông Diệu Trạm"
"ex:monk/tiem_nguyen_trong_hung","Tiệm Nguyên Trọng Hưng"
"ex:monk/toan_dat_gia_hao","Toàn Đạt Gia Hào"
"ex:monk/toan_dai_hue_duc","Toàn Đài Huệ Đức"
"ex:monk/toan_dang_bao_nguyen","Toàn Đăng Bảo Nguyên"
"ex:monk/toan_chieu_bao_an","Toàn Chiếu Bảo Ấn"
"ex:monk/toan_hieu_gia_linh","Toàn Hiệu Gia Linh"
"ex:monk/toan_nghia_chon_thuong","Toàn Nghĩa Chơn Thường"
"ex:monk/toan_nham_quan_thong","Toàn Nhâm Quán Thông"
"ex:monk/toan_nhat_quang_dai","Toàn Nhật Quang Đài"
"ex:monk/toan_thien_duc_hoang","Toàn Thiện Đức Hoằng"
"ex:monk/toan_the_linh_nguyen","Toàn Thể Linh Nguyên"
"ex:monk/toan_dai_hue_duc","Toàn Trí Long Thọ"
"ex:monk/toan_tri_long_tho","Toàn Trí Long Thọ"
"ex:monk/toan_tanh_chanh_ac","Toàn Tánh Chánh Ðắc"
"ex:monk/toan_tin_uc_thanh","Toàn Tín Ðức Thành"
"ex:monk/toan_ao_vien_am","Toàn Ðạo Viên Ðàm"
"ex:monk/toan_dinh_bao_tang","Toàn Ðịnh Bảo Tạng"
"ex:monk/toan_inh_bao_tang","Toàn Ðịnh Bảo Tạng"
"ex:monk/toan_uc_thieu_long","Toàn Ðức Thiệu Long"
"ex:monk/toan_y_pho_hue","Toàn Ý Phổ Huệ"
"ex:monk/toan_dinh_pho_dat","Toàn Đĩnh Phổ Đạt"
"ex:monk/toan_dao_mat_hanh","Toàn Đạo Mật Hạnh"
"ex:monk/toan_duc_hoang_tong","Toàn Đức Hoằng Tông"
"ex:monk/trieu_chau_dai_dien","Triều Châu Đại Điên"
"ex:monk/trieu_chau_tung_tham","Triệu Châu Tùng Thẩm"
"ex:monk/trung_phong_minh_bon","Trung Phong Minh Bổn"
"ex:monk/trung_te_thien_nang","Trung Tế Thiện Năng"
"ex:monk/trung_dieu_tri_phong","Trung Điều Trí Phong"
"ex:monk/trung_ap_hong_an","Trung Ấp Hồng Ân"
"ex:monk/truy_chau_thuy_luc","Truy Châu Thủy Lục"
"ex:monk/trac_chau_cap_y","Trác Châu Cấp Y"
"ex:monk/tri_chau_cam_chi","Trì Châu Cam Chí"
"ex:monk/tri_chau_linh_thuu_nhan","Trì Châu Linh Thứu Nhàn"
"ex:monk/tri_chau_lo_to_giao","Trì Châu Lỗ Tổ Giáo"
"ex:monk/tri_chau_lo_to_giao","Trì Châu Lỗ Tổ Giáo "
"ex:monk/tri_gia_chan_tu","Trí Giả Chân Từ"
"ex:monk/tri_hai_tri","Trí Hải Trí"
"ex:monk/tri_hai_dao_binh","Trí Hải Ðạo Bình"
"ex:monk/tri_mon_hoi_han","Trí Môn Hồi Hãn"
"ex:monk/tri_thuyen","Trí Thuyên"
"ex:monk/tru_nham_lieu_van","Trù Nham Liễu Vân"
"ex:monk/truc_vien_phap_hien","Trúc Viên Pháp Hiển"
"ex:monk/truong_khanh_tue_xiem","Trường Khánh Tuệ Xiêm"
"ex:monk/truong_khanh_dao_hy","Trường Khánh Đạo Hy"
"ex:monk/phap_luan_ung_doan","Trường Linh Thủ Trác"
"ex:monk/truong_linh_thu_trac","Trường Linh Thủ Trác"
"ex:monk/truong_sa_canh_sam","Trường Sa Cảnh Sầm"
"ex:monk/truong_vien","Trường Viễn"
"ex:monk/truong_tich_tu_ky","Trượng Tích Tu Kỷ"
"ex:monk/tran_chau_kim_nguu","Trấn Châu Kim Ngưu"
"ex:monk/tran_chau_pho_hoa","Trấn Châu Phổ Hóa"
"ex:monk/tran_chau_van_tue","Trấn Châu Vạn Tuế"
"ex:monk/tran_chau_dai_bi","Trấn Châu Đại Bi"
"ex:monk/trung_dan_bich_khong","Trừng Dàn Bích Không"
"ex:monk/trung_tam_man_duc","Trừng Tâm Mân Đức"
"ex:monk/tung_nhac_hue_an","Tung Nhạc Huệ An"
"ex:monk/tung_nhac_nguyen_khue","Tung Nhạc Nguyên Khuê"
"ex:monk/tung_nhac_pha_tao_doa","Tung Nhạc Phá Táo Đọa"
"ex:monk/tung_son_lac_kinh","Tung Sơn Lạc Kinh"
"ex:monk/tay_kinh_nghia_phuoc","Tung Sơn Phổ Tịch"
"ex:monk/tung_son_pho_tich","Tung Sơn Phổ Tịch"
"ex:monk/tuyen_chau_luc_hoan","Tuyên Châu Lục Hoàn"
"ex:monk/tuyen_minh_phat_an","Tuyên Minh Phật Ấn"
"ex:monk/tuyet_nham_to_kham","Tuyết Nham Tổ Khâm"
"ex:monk/tuyet_phong_nghia_ton","Tuyết Phong Nghĩa Tồn"
"ex:monk/tuyet_dau_phap_nha","Tuyết Đậu Pháp Nhã"
"ex:monk/tuyet_dau_thuong_thong","Tuyết Đậu Thương Thông"
"ex:monk/tuyet_dau_tri","Tuyết Đậu Trí"
"ex:monk/tuyen_chau_ngoa_quan","Tuyền Châu Ngõa Quan"
"ex:monk/bao_phuoc_ban_quyen","Tuệ An Tuệ Uyên"
"ex:monk/tue_an_tue_uyen","Tuệ An Tuệ Uyên"
"ex:monk/tue_hai_nghi","Tuệ Hải Nghi"
"ex:monk/tue_lam_hong_cuu","Tuệ Lâm Hồng Cứu"
"ex:monk/tue_lam_duc_ton","Tuệ Lâm Ðức Tốn"
"ex:monk/tue_luc_kha_xuong","Tuệ Lực Khả Xướng"
"ex:monk/tue_luc_tue_nam","Tuệ Lực Tuệ Nam"
"ex:monk/tue_luc_dong_nguyen","Tuệ Lực Ðộng Nguyên"
"ex:monk/tue_minh_van","Tuệ Minh Vân"
"ex:monk/tue_nhat_hung_dao","Tuệ Nhật Hưng Ðạo"
"ex:monk/tue_nhat_minh","Tuệ Nhật Minh"
"ex:monk/tue_nhat_van_nha","Tuệ Nhật Văn Nhã"
"ex:monk/tue_tinh_ty_tho","Tuệ Tĩnh Tỳ Thọ"
"ex:monk/tue_vien","Tuệ Viên"
"ex:monk/tao_khe_linh_thao","Tào Khê Linh Thao"
"ex:monk/tanh_khong_dieu_pho","Tánh Không Diệu Phổ"
"ex:monk/tam_tri_vien_giac","Tâm Trí Viên Giác"
"ex:monk/tam_ang_chon_nhu","Tâm Ðăng Chơn Như"
"ex:monk/tan_la_ca_tri","Tân La Ca Trí"
"ex:monk/tan_la_phap_lang","Tân La Pháp Lãng"
"ex:monk/tan_la_thuan_chi","Tân La Thuận Chi"
"ex:monk/tan_la_dai_chung","Tân La Đại Chứng"
"ex:monk/tay_du_tinh_doan","Tây Du Tịnh Đoan"
"ex:monk/tay_du_tinh_doan","Tây Dư Tịnh Đoan"
"ex:monk/tay_kinh_nghia_phuoc","Tây Kinh Nghĩa Phước"
"ex:monk/tay_lam_sung_ao","Tây Lâm Sùng Áo"
"ex:monk/tay_nham_tong_hoi","Tây Nham Tông Hồi"
"ex:monk/tay_thien_hy_tu","Tây Thiền Hy Tú"
"ex:monk/tay_thien_thu_tinh","Tây Thiền Thủ Tịnh"
"ex:monk/tay_thien_van_lien","Tây Thiền Văn Liên"
"ex:monk/tay_thien_danh_nhu","Tây Thiền Ðảnh Nhu"
"ex:monk/tay_thap_quang_muc","Tây Tháp Quang Mục"
"ex:monk/tay_thuc_loan","Tây Thục Loan"
"ex:monk/tay_viem_dam_tang","Tây Viên Đàm Tạng"
"ex:monk/tay_vien_tu_minh","Tây Viện Tư Minh"
"ex:monk/bien_dam_hieu_lieu","Tây Vực Quật Đa Tam Tạng"
"ex:monk/tay_vuc_quat_da_tam_tang","Tây Vực Quật Đa Tam Tạng"
"ex:monk/tay_duong_tri_tang","Tây Đường Trí Tạng"
"ex:monk/tin_chau_tri_thuong","Tín Châu Trí Thường"
"ex:monk/tin_tuong_gioi_tu","Tín Tướng Giới Tu"
"ex:monk/tin_tuong_tong_hien","Tín Tướng Tông Hiển"
"ex:monk/tong_son","Tòng Sơn"
"ex:monk/to_chau_tay_thien","Tô Châu Tây Thiền"
"ex:monk/a_nan","Tôn Giả A Nan"
"ex:monk/ba_tu_ban_dau","Tôn Giả Bà Tu Bàn Đầu"
"ex:monk/ba_tu_mat","Tôn Giả Bà Tu Mật"
"ex:monk/ba_xa_tu_da","Tôn Giả Bà Xá Tư Đa"
"ex:monk/bat_nha_da_la","Tôn Giả Bát Nhã Đa La"
"ex:monk/bat_nhu_mat_da","Tôn Giả Bất Như Mật Đa"
"ex:monk/bo_de_dat_ma","Tôn Giả Bồ Đề Đạt Ma"
"ex:monk/ca_na_de_ba","Tôn Giả Ca Na Đề Bà"
"ex:monk/ca_ty_ma_la","Tôn Giả Ca Tỳ Ma La"
"ex:monk/cuu_ma_la_da","Tôn Giả Cưu Ma La Đa"
"ex:monk/di_gia_ca","Tôn Giả Di Già Ca"
"ex:monk/da_da_xa_da","Tôn Giả Dà Da Xá Đa"
"ex:monk/hoang_mai_hoang_nhan","Tôn Giả Hoàng Mai Hoằng Nhẫn"
"ex:monk/hoang_mai_hoang_nhan","Tôn Giả Hoằng Nhẫn"
"ex:monk/hue_kha","Tôn Giả Huệ Khả"
"ex:monk/hac_lac_na","Tôn Giả Hạc Lặc Na"
"ex:monk/la_hau_la_da","Tôn Giả La Hầu La Da"
"ex:monk/ma_ha_ca_diep","Tôn Giả Ma Ha Ca Diếp"
"ex:monk/ma_noa_la","Tôn Giả Ma Noa La"
"ex:monk/mat_dien_de_ca","Tôn Giả Mạt Điền Để Ca"
"ex:monk/phu_na_da_xa","Tôn Giả Phú Na Dạ Xa"
"ex:monk/phat_da_mat_da","Tôn Giả Phật Đà Mật Đa"
"ex:monk/phat_da_nan_de","Tôn Giả Phật Đà Nan Đề"
"ex:monk/su_tu_ty_kheo","Tôn Giả Sư Tử Tỳ Kheo"
"ex:monk/thuong_na_hoa_tu","Tôn Giả Thương Na Hòa Tu"
"ex:monk/tang_gia_nan_de","Tôn Giả Tăng Già Nan Đề"
"ex:monk/tang_xan","Tôn Giả Tăng Xán"
"ex:monk/xa_da_da","Tôn Giả Xà Dạ Đa"
"ex:monk/dai_giam_hue_nang","Tôn Giả Đại Giám Huệ Năng"
"ex:monk/dao_tin","Tôn Giả Đạo Tín"
"ex:monk/de_da_ca","Tôn Giả Đề Đa Ca"
"ex:monk/uu_ba_cuc_da","Tôn Giả Ưu Ba Cúc Đa"
"ex:monk/tong_thien_ban_thuy","Tông Thiền Bản Thụy"
"ex:monk/tang_dien","Tăng Diễn"
"ex:monk/tang_na","Tăng Na"
"ex:monk/tu_chau_tri_san","Tư Châu Trí Sằn"
"ex:monk/tu_chau_xu_tich","Tư Châu Xử Tịch"
"ex:monk/tu_khong_bon_tinh","Tư Không Bổn Tịnh"
"ex:monk/tu_phuoc_nhu_bao","Tư Phước Như Bảo"
"ex:monk/tuong_chau_bang_uan","Tương Châu Bàng Uẩn"
"ex:monk/tuong_chau_cao_dinh_gian","Tương Châu Cao Đình Giản"
"ex:monk/tuong_chau_hue_man","Tương Châu Huệ Mãn"
"ex:monk/tuong_chau_lich_thon","Tương Châu Lịch Thôn"
"ex:monk/tuong_chau_phap_doan","Tương Châu Pháp Đoan"
"ex:monk/tuong_chau_vuong_kinh_so","Tương Châu Vương Kính Sơ"
"ex:monk/tuong_son_giac_hai","Tương Sơn Giác Hải"
"ex:monk/bui_huu","Tướng Quốc Bùi Hưu"
"ex:monk/tuong_thanh_quang_tung","Tường Thanh Quảng Tùng"
"ex:monk/tuong_dien_pham_khanh","Tượng Điền Phạm Khanh"
"ex:monk/tang_chu_pho_dung","Tạng Chủ Phổ Dung"
"ex:monk/tan_chau_hoac_son","Tấn Châu Hoắc Sơn"
"ex:monk/tac_xuyen","Tắc Xuyên"
"ex:monk/te_bon_vien_thuong","Tế Bổn Viên Thường"
"ex:monk/te_chanh_bon_giac","Tế Chánh Bổn Giác"
"ex:monk/te_lich_chanh_van","Tế Lịch Chánh Văn"
"ex:monk/te_triet_giac_nguyen","Tế Triệt Giác Nguyên"
"ex:monk/te_tri_huu_phi","Tế Trí Hữu Phỉ"
"ex:monk/te_tin_chanh_truc","Tế Tín Chánh Trực"
"ex:monk/te_dien_nhu_bon","Tế Điền Như Bổn"
"ex:monk/te_duong_chau_cap","Tế Đường Châu Cấp"
"ex:monk/te_phong","Tề Phong"
"ex:monk/tinh_chung_lieu_xan","Tịnh Chúng Liễu Xán"
"ex:monk/tinh_nhan_ke_thanh","Tịnh Nhân Kế Thành"
"ex:monk/tinh_nhan_dao_trang","Tịnh Nhân Ðạo Trăng"
"ex:monk/tinh_tu_cu_gian","Tịnh Từ Cư Giản"
"ex:monk/tinh_tu_ngan_sung","Tịnh Từ Ngạn Sung"
"ex:monk/dien_phuc_tue_thang","Tịnh Từ Sư Nhất"
"ex:monk/tinh_tu_van","Tịnh Từ Văn"
"ex:monk/tinh_tu_dam_mat","Tịnh Từ Ðàm Mật"
"ex:monk/tinh_do_thien_tu","Tịnh Độ Thiện Tư"
"ex:monk/to_nhan_thien_truong","Tổ Nhân Thiên Trường"
"ex:monk/to_tong_vien_quang","Tổ Tông Viên Quang"
"ex:monk/to_dat_tri_tam","Tổ Đạt Trí Tâm"
"ex:monk/to_duc_bao_tang","Tổ Đức Bảo Tạng"
"ex:monk/to_an_mat_hoang","Tổ Ấn Mật Hoằng"
"ex:monk/tu_chau_dung_nguyen","Tứ Châu Dụng Nguyên"
"ex:monk/tu_to_phap_dien","Tứ Tổ Pháp Diễn"
"ex:monk/tu_do_trong_tuyen","Tứ Độ Trọng Tuyên"
"ex:monk/tu_thi_thuy_tien","Từ Thị Thụy Tiên"
"ex:monk/tu_van_hai_tuan","Từ Vân Hải Tuấn"
"ex:monk/tu_van_ngan_long","Từ Vân Ngạn Long"
