"monk","label"
"ex:monk/hoang_long_tri_minh","Cư Sĩ Thái Sử Hoàng Ðình Kiên"
"ex:monk/ly_di_ton","Cư Sĩ Thị Lang Lý Di Tốn"
"ex:monk/ly_hao","Cư Sĩ Thị Lang Lý Hạo"
"ex:monk/thuong_anh","Cư Sĩ Thừa Tướng Trương Thương Anh"
"ex:monk/lu_hang","Cư Sĩ Trung Thừa Lư Hàng"
"ex:monk/pham_xung","Cư Sĩ Tả Thừa Phạm Xung"
"ex:monk/do_huong_trinh","Cư Sĩ Tả Ty Ðô Huống Trịnh"
"ex:monk/doi_dao_thuan","Cư Sĩ Tự Thừa Ðới Đạo Thuần"
"ex:monk/ty_bo_ton","Cư Sĩ Tỷ Bộ Tôn"
"ex:monk/van_cong_duong_uc","Cư Sĩ Văn Công Dương Ức"
"ex:monk/van_dinh_ho_an_quoc","Cư Sĩ Văn Ðịnh Hồ An Quốc"
"ex:monk/ngo_cu_hau","Cư Sĩ Xu Mật Ngô Cư Hậu"
"ex:monk/xu_mat_tu_phu","Cư Sĩ Xu Mật Từ Phủ"
"ex:monk/quach_tuong_chanh","Cư Sĩ Ðề Hình Quách Tường Chánh"
"ex:monk/phan_luong_quy","Cư Sĩ Đãi Chế Phan Lương Quý"
"ex:monk/cam_thanh","Cảm Thành"
"ex:monk/cam_dam_tu_quoc","Cảm Đàm Tư Quốc"
"ex:monk/canh_phuoc_nhat_du","Cảnh Phước Nhật Dư"
"ex:monk/canh_phuoc_tinh_duyet","Cảnh Phước Tỉnh Duyệt"
"ex:monk/canh_thanh_cu_to","Cảnh Thanh Cư Tố"
"ex:monk/coc_son_hai","Cốc Sơn Hải"
"ex:monk/coc_an_tinh_hien","Cốc Ẩn Tĩnh Hiển"
"ex:monk/coc_an_uan_thong","Cốc Ẩn Uẩn Thông"
"ex:monk/co_chuyet_nguyen_hau","Cổ Chuyết Nguyên Hậu"
"ex:monk/co_linh_than_tan","Cổ Linh Thần Tán"
"ex:monk/co_son_an_vinh","Cổ Sơn An Vĩnh"
"ex:monk/co_son_tong_dai","Cổ Sơn Tông Ðãi"
"ex:monk/co_son_tang_tuan","Cổ Sơn Tăng Tuân"
"ex:monk/co_son_to_tran","Cổ Sơn Tổ Trân"
"ex:monk/co_tu","Cổ Tự"
"ex:monk/cuu_phong_hy_quang","Cửu Phong Hy Quảng"
"ex:monk/cuu_phong_tu_tue","Cửu Phong Từ Tuệ"
"ex:monk/cuu_tien_phap","Cửu Tiên Pháp"
"ex:monk/cuu_tong_phap_minh","Cửu Tông Pháp Minh"
