STT,ID,Tên_Việt,Tên_Hán,Lat,Lon,Province,Source,Status,Mô_tả,Ghi_chú_Admin
121,PL000000000075,,北周,34.322,108.874,,DILA,master,,
122,PL000000000076,,梁,30.3496,112.1995,,DILA,master,,
123,PL000000000077,,東魯,35.5976,116.9966,中國-山東省-濟寧市-曲阜市,DILA,master,,
124,PL000000000078,,大三峽,31.040671,110.492327,,DILA,master,,
125,PL000000000079,,河南,35,113,,DILA,master,,
126,PL000000000080,,七澤,30,112,,DILA,master,,
127,PL000000000081,,巫峽,31.056853,109.858375,,DILA,master,,
128,PL000000000082,,淮服,33,120,,DILA,master,,
129,PL000000000083,,東國,34.540829,108.923708,,DILA,master,,
130,PL000000000084,,河朔,40,113,中國-山西省;中國-河北省;中國-山東省;中國-北京市;中國-天津市,DILA,master,,
131,PL000000000087,,西楚,33.501,119.15,,DILA,master,,
132,PL000000000089,,中國,34.7591,114.4351,,DILA,master,,
133,PL000000000092,,揚州,32.0514,118.778,,DILA,master,,
134,PL000000000093,,江北,33,113,,DILA,master,,
135,PL000000000095,,殷商,36.098857,114.386767,,DILA,master,,
136,PL000000000096,,秦,34.4394,108.8857,中國-北京市;中國-天津市;中國-河北省;中國-山西省;中國-內蒙古自治區;中國-遼寧省;中國-上海市;中國-江蘇省;中國-浙江省;中國-安徽省;中國-福建省;中國-江西省;中國-山東省;中國-河南省;中國-湖北省;中國-湖南省;中國-廣東省;中國-廣西壯族自治區;中國-重慶市;中國-四川省;中國-貴州省;中國-雲南省;中國-陝西省;中國-甘肅省;中國-寧夏回族自治區;北韓;越南-東北部Northeastern(DongBac)(NorthEast),DILA,master,,
137,PL000000000097,,西漢,34.3194,108.8835,,DILA,master,,
138,PL000000000098,,東漢,34.6646,112.3918,,DILA,master,,
139,PL000000000099,,三國魏,34.7203,112.6193,,DILA,master,,
140,PL000000000100,,三國蜀,30.6501,104.0864,,DILA,master,,
