raw_name,matched_name,matched_id,confidence,gps_found,lat,lon,frequency,source
Hoài Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Trung,Trung Quốc,PL000000000089,0.7,False,,,1,DILA
Thượng,Thượng Hải,PL000000008392,0.7,False,,,1,DILA
Hiệp Châu,Châu,PL000000027906,0.7,False,,,1,DILA
Tháp,白ThápSơn,PL000000000280,0.7,False,,,1,DILA
洪福寺,洪福Tự,PL000000059972,1.0,False,,,1,DILA
Tô Châu,Châu,PL000000027906,0.7,False,,,1,DILA
四十世崇興廣濟寺,廣濟Tự,PL000000060130,0.7,False,,,1,DILA
chung,臺中Huyện,PL000000050045,0.7,False,,,1,DILA
ven,迦蘭陀竹Viên精舍,PL000000048271,0.7,False,,,1,DILA
châu Kim,Châu,PL000000027906,0.7,False,,,1,DILA
