ex:monk/a_nan","Tôn Giả A Nan"
"ex:monk/anh_chau_dai_dung_yen","Anh Châu Đại Dung Yên"
"ex:monk/anh_chau_quan_am","Anh Châu Quán Âm"
"ex:monk/anh_cong_ha_tung","Anh Công Hạ Tủng"
"ex:monk/anh_cong_ha_tung","Cư Sĩ Anh Công Hạ Tủng"
"ex:monk/ba_lang_hao_giam","Ba Lăng Hạo Giám"
"ex:monk/ba_nhan_minh_triet","Bá Nhan Minh Triết"
"ex:monk/ba_tieu_coc_tuyen","Ba Tiêu Cốc Tuyền"
"ex:monk/ba_tieu_hoang_nghia","Ba Tiêu Hoằng Nghĩa"
"ex:monk/ba_tieu_hue_thanh","Ba Tiêu Huệ Thanh"
"ex:monk/ba_tu_ban_dau","Tôn Giả Bà Tu Bàn Đầu"
"ex:monk/ba_tu_mat","Tôn Giả Bà Tu Mật"
"ex:monk/ba_xa_tu_da","Bà Xá Tư Đa"
"ex:monk/ba_xa_tu_da","Tôn Giả Bà Xá Tư Đa"
"ex:monk/bac_giang_tay_lan_nhuong","Bắc Giang Tây Lan Nhượng"
"ex:monk/bac_son_nguyen_lai","Bác Sơn Nguyên Lai"
"ex:monk/bac_son_phap_thong","Bắc Sơn Pháp Thông"
"ex:monk/bac_son_tu_kinh","Bắc Sơn Tử Kinh"
"ex:monk/bac_thien_duy_truc","Bắc Thiền Duy Trực"
"ex:monk/bac_thien_tong_giac","Bắc Thiền Tông Giác"
"ex:monk/bac_trieu_phap_thong","Bắc Triệu Pháp Thông"
"ex:monk/bach_duong_phap_thuan","Bạch Dương Pháp Thuận"
"ex:monk/bach_linh","Bách Linh"
"ex:monk/bach_loc_hien_doan","Bạch Lộc Hiển Ðoan"
"ex:monk/bach_loc_su_quy","Bạch Lộc Sư Quý"
"ex:monk/bach_long_dao_hy","Bạch Long Đạo Hy"
"ex:monk/bach_ma_dam_chieu","Bạch Mã Đàm Chiếu"
"ex:monk/bach_ma_don_nho","Bạch Mã Độn Nho"
"ex:monk/bach_ma_hanh_ai","Bạch Mã Hành Ái"
