ex:monk/a_nan","Tôn Giả A Nan"
"ex:monk/chon_tin_phap_hy","Chơn Tín Pháp Hỷ"
"ex:monk/chon_tran_hoang_hoa","Chơn Trân Hoằng Hóa"
"ex:monk/chon_trung_dao_thanh","Chơn Trừng Đạo Thanh"
"ex:monk/chon_trung_dieu_quang","Chơn Trung Diệu Quang"
"ex:monk/chon_trung_duong_nhat","Chơn Trừng Đương Nhật"
"ex:monk/chon_trung_hung_duyen","Chơn Trừng Hưng Duyên"
"ex:monk/chon_trung_minh_uc","Chơn Trung Minh Ðức"
"ex:monk/chon_tu_phuoc_du","Chơn Tư Phước Dư"
"ex:monk/chu_kinh","Chữ Kính"
"ex:monk/chuc_tho_quang_thien","Chúc Thọ Quảng Thiện"
"ex:monk/chung_nam_phong_duc","Chung Nam Phong Đức"
"ex:monk/chung_nam_su_to_van_te","Chung Nam Sư Tổ Vân Tế"
"ex:monk/chung_son_dam_thoi","Chung Sơn Đàm Thôi"
"ex:monk/chung_son_dao_long","Chung Sơn Ðạo Long"
"ex:monk/chuong_ac_tri_tap","Chương Ðắc Trí Tập"
"ex:monk/chuong_an_quang_khanh","Chương An Quảng Khánh"
"ex:monk/chuong_bang_tri_tinh","Chương Bằng Trí Tịnh"
"ex:monk/chuong_binh","Thích Chương Bình"
"ex:monk/chuong_chat_quang_thanh","Chương Chất Quảng Thành"
"ex:monk/chuong_chau_bao_an_hy","Chương Châu Báo Ân Hy"
"ex:monk/chuong_chau_bao_phuoc","Chương Châu Bảo Phước"
"ex:monk/chuong_chau_la_han","Chương Châu La Hán"
"ex:monk/chuong_chau_nhac_loc","Chương Châu Nhạc Lộc"
"ex:monk/chuong_chau_phu_thach","Chương Châu Phù Thạch"
"ex:monk/chuong_chi_thien_phuoc","Chương Chí Thiên Phước"
"ex:monk/chuong_dan_huyen_dat","Chương Đàn Huyền Đạt"
"ex:monk/chuong_dao_quang_vien","Chương Đạo Quảng Viên"
"ex:monk/chuong_dien_lieu_minh","Chương Điền Liễu Minh"
"ex:monk/chuong_do_pho_quang","Chương Đồ Phổ Quảng"
"ex:monk/chuong_giang_tue_khiem","Chương Giang Tuệ Khiêm"
"ex:monk/chuong_hai_thanh_nguyen","Chương Hải Thanh Nguyên"
"ex:monk/chuong_hiep_chanh_tri","Chương Hiệp Chánh Trì"
"ex:monk/chuong_huong_chi_thang","Chương Hương Chí Thắng"
"ex:monk/chuong_khoang_chung_dao","Chương Khoáng Chứng Đạo"
"ex:monk/chuong_khuoc_giac_tanh","Chương Khước Giác Tánh"
"ex:monk/chuong_kinh_hoai_uan","Chương Kính Hoài Uẩn"
"ex:monk/chuong_lanh_nguyen_tu","Chương Lành Nguyên Từ"
"ex:monk/chuong_loc_chi_kien","Chương Lộc Chí Kiên"
"ex:monk/chuong_ly_hoang_hoa","Chương Lý Hoằng Hóa"
"ex:monk/chuong_ly_tri_quang","Chương Lý Trí Quang"
"ex:monk/chuong_ly_tri_quang","Chương Lý Trí Quang"
"ex:monk/chuong_nghia_quang_dam","Chương Nghĩa Quảng Đàm"
"ex:monk/chuong_nghia_thanh_tuyen","Chương Nghĩa Thanh Tuyền"
"ex:monk/chuong_nguyet_long_tang","Chương Nguyệt Long Tạng"
"ex:monk/chuong_nhan_quang_hoa","Chương Nhẫn Quảng Hóa"
"ex:monk/chuong_nhan_quang_hoa","Chương Nhẫn Quảng Hóa"
"ex:monk/chuong_nhan_thien_uc","Chương Nhân Thiện Ðức"
"ex:monk/chuong_nhan_tu_nhan","Chương Nhẫn Từ Nhân"
"ex:monk/chuong_nhu_tu_y","Chương Như Từ Ý"
"ex:monk/chuong_niem_quang_giac","Chương Niệm Quảng Giác"
"ex:monk/chuong_quang_mat_hanh","Chương Quảng Mật Hạnh"
"ex:monk/chuong_quang_tuyen_can","Chương Quảng Tuyên Cần"
"ex:monk/chuong_tam_phuoc_thuong","Chương Tâm Phước Thường"
"ex:monk/chuong_tan_chanh_nhan","Chương Tân Chánh Nhân"
"ex:monk/chuong_tanh_quang_nhuan","Chương Tánh Quảng Nhuận"
"ex:monk/chuong_thai_quang_lien","Chương Thái Quảng Liên"
"ex:monk/chuong_thien_hoang_ao","Chương Thiện Hoằng Ðạo"
"ex:monk/chuong_thu_hoang_vi","Chương Thư Hoằng Vĩ"
"ex:monk/chuong_tin_hoang_an","Chương Tín Hoằng Ân"
"ex:monk/chuong_tin_hoang_an","Chương Tín Hoằng Ân"
"ex:monk/chuong_trang_quang_chan","Chương Trang Quảng Chấn"
"ex:monk/chuong_tri_quang_giac","Chương Trí Quảng Giác"
"ex:monk/chuong_truyen_phap_hoa","Chương Truyền Pháp Hóa"
"ex:monk/chuong_tu_hue_quang","Chương Tư Huệ Quang"
"ex:monk/chuong_tu_quang_thien","Chương Từ Quảng Thiện"
"ex:monk/chuong_tuan_quang_van","Chương Tuấn Quảng Văn"
"ex:monk/chuong_tuong_vinh_ien","Chương Tường Vĩnh Ðiền"
"ex:monk/chuong_van_quang_o","Chương Vạn Quảng Ðộ"
"ex:monk/co_chuyet_nguyen_hau","Cổ Chuyết Nguyên Hậu"
"ex:monk/co_dien_nguyen_nghiem","Cổ Điền Nguyên Nghiểm"
"ex:monk/co_linh_than_tan","Cổ Linh Thần Tán"
"ex:monk/co_luong_nhan_phon","Cơ Lượng Nhân Phồn"
"ex:monk/co_nhai_tinh_thong","Cô Nhai Tịnh Thông"
"ex:monk/co_son_an_vinh","Cổ Sơn An Vĩnh"
"ex:monk/co_son_tang_tuan","Cổ Sơn Tăng Tuân"
"ex:monk/co_son_than_yen","Cổ Sơn Thần Yến"
"ex:monk/co_son_thanh_ngac","Cổ Sơn Thanh Ngạc"
"ex:monk/co_son_to_tran","Cổ Sơn Tổ Trân"
"ex:monk/co_son_to_tran","Thượng Phong Bản Tài"
"ex:monk/co_son_tong_dai","Cổ Sơn Tông Ðãi"
"ex:monk/co_son_tri_nghiem","Cổ Sơn Trí Nghiêm"
"ex:monk/co_thiem_oanh","Cô Thiềm Oánh"
"ex:monk/co_tu","Cổ Tự"
"ex:monk/co_van_hoai_trang","Cô Vân  Hoài Trang"
"ex:monk/co_van_hoai_trang","Cô Vân Hoài Trang"
"ex:monk/coc_an_tinh_hien","Cốc Ẩn Tĩnh Hiển"
"ex:monk/coc_an_uan_thong","Cốc Ẩn Uẩn Thông"
"ex:monk/coc_son_hai","Cốc Sơn Hải"
"ex:monk/cong_an_to_chau","Công An Tổ Châu"
"ex:monk/cong_than_dao_nhan","Công Thần Đạo Nhàn"
"ex:monk/cs_huong","Cs Hướng"
"ex:monk/cs_huong","Cư Sĩ Hướng"
"ex:monk/cs_thieu_duong_hau","Cs Thiều Dương Hầu"
"ex:monk/cu_chau_loi_tung_tu_ho","Cù Châu Lợi Tung Tử Hồ"
"ex:monk/cu_chau_nam_dai_nhan","Cù Châu Nam Đài Nhân"
"ex:monk/cu_si_e_hinh_duong","Cư Sĩ Ðề Hình Dương"
"ex:monk/cu_si_tam_hoa_truong_xuong","Cư Sĩ Tâm Hòa Trương Xướng"
"ex:monk/cu_si_thai_pho_cao_the_tac","Cư Sĩ Thái Phó Cao Thế Tắc"
"ex:monk/cu_si_thanh_phuoc_diem_tinh","Cư Sĩ Thanh Phước Điềm Tịnh"
"ex:monk/cu_si_trieu_thinh_thoi_cong","Cư Sĩ Triều Thỉnh Thôi Công"
"ex:monk/cuu_danh_to","Cửu Đảnh Tố"
"ex:monk/cuu_danh_to","Long Hoa Ðạo Sơ"
"ex:monk/cuu_danh_tu_pho","Cửu Đảnh Từ Phổ"
"ex:monk/cuu_danh_tue_tuyen","Cửu Đảnh Tuệ Tuyền"
"ex:monk/cuu_ma_la_da","Tôn Giả Cưu Ma La Đa"
"ex:monk/cuu_mac_dai_am","Cửu Mặc Đại Âm"
"ex:monk/cuu_phong_dao_kien","Cửu Phong Đạo Kiền"
"ex:monk/cuu_phong_hy_quang","Cửu Phong Hy Quảng"
"ex:monk/cuu_phong_pho_man","Cửu Phong Phổ Mãn"
"ex:monk/cuu_phong_tu_tue","Cửu Phong Từ Tuệ"
"ex:monk/cuu_tien_phap","Cửu Tiên Pháp"
"ex:monk/cuu_tong_kinh_tue","Cửu Tông Kính Tuệ"
"ex:monk/cuu_tong_phap_minh","Cửu Tông Pháp Minh"
"ex:monk/da_da_xa_da","Tôn Giả Dà Da Xá Đa"
"ex:monk/da_phu_dao_xuyen","Dã Phụ Ðạo Xuyên"
"ex:monk/dai_an_thanh_can","Đại An Thanh Cán"
"ex:monk/dai_an_truyen_tanh","Đại An Truyền Tánh"
"ex:monk/dai_bo_thien_de","Đại Bồ Thiện Đề"
"ex:monk/dai_buu_kim_cang","Đại Bửu Kim Cang"
"ex:monk/dai_chau_hue_hai","Đại Châu Huệ Hải"
"ex:monk/dai_chuong_khe_nhu","Đại Chương Khế Như"
"ex:monk/dai_chuong_tong_thu","Đại Chương Tông Thư"
"ex:monk/dai_dong_quang_trung","Đại Đồng Quảng Trừng"
"ex:monk/dai_duong","Đại Dương"
"ex:monk/dai_duong_an","Đại Dương Ðán"
"ex:monk/dai_duong_canh_huyen","Đại Dương Cảnh Huyền"
"ex:monk/dai_duong_hanh_xung","Đại Dương Hành Xung"
"ex:monk/dai_duong_ky","Đại Dương Kỳ"
"ex:monk/dai_duong_man","Đại Dương Mãn"
"ex:monk/dai_duong_nhu_han","Đại Dương Như Hán"
"ex:monk/dai_duong_tue","Đại Dương Tuệ"
"ex:monk/dai_giac_nguy_phu","Đại Giác Ngụy Phủ"
"ex:monk/dai_giam_hue_nang","Tôn Giả Đại Giám Huệ Năng"
"ex:monk/dai_hanh_pho_hien","Đại Hạnh Phổ Hiền"
"ex:monk/dai_hong_bao_an","Đại Hồng Báo Ân"
"ex:monk/dai_hong_cung","Đại Hồng Cung"
"ex:monk/dai_hong_khanh_du","Đại Hồng Khánh Dự"
"ex:monk/dai_hong_khanh_hien","Đại Hồng Khánh Hiển"
"ex:monk/dai_hong_phap_vi","Đại Hồng Pháp Vi"
"ex:monk/dai_hong_thu_toai","Đại Hồng Thủ Toại"
"ex:monk/dai_hong_to_chung","Đại Hồng Tổ Chứng"
"ex:monk/dai_hong_tri","Đại Hồng Trí"
"ex:monk/dai_hue_chieu_nhien","Đại Huệ Chiếu Nhiên"
"ex:monk/dai_hue_tong_cao","Đại Huệ Tông Cảo"
"ex:monk/dai_lam_tang_don","Đại Lâm Tăng Độn"
"ex:monk/dai_long_tri_hong","Đại Long Trí Hồng"
"ex:monk/dai_luong_hong_phuong","Đại Lương Hồng Phương"
"ex:monk/dai_mai_phap_thuong","Đại Mai Pháp Thường"
"ex:monk/dai_minh_dao_mai","Đại Minh Đạo Mai"
"ex:monk/dai_minh_tang_bao","Đại Minh Tăng Bảo"
"ex:monk/dai_nghia_chi_hao","Đại Nghĩa Chí Hạo"
"ex:monk/dai_ngu_thu_chi","Đại Ngu Thủ Chi"
"ex:monk/dai_nguyet_linh_chieu","Đại Nguyệt Linh Chiếu"
"ex:monk/dai_ninh_an_vi","Đại Ninh Ẩn Vi"
"ex:monk/dai_ninh_hai_nhat","Đại Ninh Hải Nhất"
"ex:monk/dai_phung_ngan_tan","Đại Phụng Ngạn Tân"
"ex:monk/dai_phuoc_lieu_tanh","Đại Phước Liễu Tánh"
"ex:monk/dai_quang_cu_hoi","Đại Quang Cư Hối"
"ex:monk/dai_quy_canh_vung","Đại Quy Cảnh Vựng"
"ex:monk/dai_quy_dinh_thuyen","Đại Quy Dĩnh Thuyên"
"ex:monk/dai_quy_duc_can","Đại Quy Ðức Càn"
"ex:monk/dai_quy_giam","Ðại Quy Giám"
"ex:monk/dai_quy_hai_binh","Đại Quy Hải Bình"
"ex:monk/dai_quy_hanh","Đại Quy Hạnh"
"ex:monk/dai_quy_hoai_huu","Đại Quy Hoài Hựu"
"ex:monk/dai_quy_hoai_tu","Đại Quy Hoài Tú"
"ex:monk/dai_quy_mo_triet","Đại Quy Mộ Triết"
"ex:monk/dai_quy_phap_bao","Đại Quy Pháp Bảo"
"ex:monk/dai_quy_phap_thai","Đại Quy Pháp Thái"
"ex:monk/dai_quy_te_tuan","Đại Quy Tề Tuân"
"ex:monk/dai_quy_thien_qua","Đại Quy Thiện Quả"
"ex:monk/dai_quy_to_xuan","Đại Quy Tổ Xuân"
"ex:monk/dai_thanh_thu_hien","Đại Thánh Thủ Hiền"
"ex:monk/dai_thien_tue_hai","Đại Thiện Tuệ Hải"
"ex:monk/dai_thong_chanh_niem","Đại Thông Chánh Niệm"
"ex:monk/dai_thua_duc_tuan","Đại Thừa Ðức Tuân"
"ex:monk/dai_thua_thang","Đại Thừa Thăng"
"ex:monk/dai_thua_tue_qua","Đại Thừa Tuệ Quả"
"ex:monk/dai_tien_tung_tap","Đại Tiền Tùng Tập"
"ex:monk/dai_tri_phuoc_khanh","Đại Trì Phước Khánh"
"ex:monk/dai_tri_te_lien","Đại Trí Tề Liên"
"ex:monk/dai_trung_lam_chi","Đại Trung Lập Chí"
"ex:monk/dai_trung_tuong_phu_hai","Đại Trung Tường Phù Hải"
"ex:monk/dai_tu_hoan_trung","Đại Từ Hoàn Trung"
"ex:monk/dai_tuy_nguyen_tinh","Đại Tùy Nguyên Tỉnh"
"ex:monk/dai_xa_nhu_truong","Đại Xa Như Trường"
"ex:monk/dam_chau_bao_cai","Đàm Châu Bảo Cái"
"ex:monk/dam_chau_bao_cai_uoc","Đàm Châu Bảo Cái Ước"
"ex:monk/dam_chau_coc_son","Đàm Châu Cốc Sơn"
"ex:monk/dam_chau_coc_son_tang","Đàm Châu Cốc Sơn Tạng"
"ex:monk/dam_chau_dai_xuyen","Đàm Châu Đại Xuyên"
"ex:monk/dam_chau_hoa_lam","Đàm Châu Hoa Lâm"
"ex:monk/dam_chau_loc_uyen_huy","Đàm Châu Lộc Uyển Huy"
"ex:monk/dam_chau_long_son","Đàm Châu Long Sơn"
"ex:monk/dam_chau_mo_phu","Đàm Châu Mộ Phụ"
"ex:monk/dam_chau_phi_dien_phuc","Đàm Châu Phi Điền Phục"
"ex:monk/dam_chau_quy_son_the","Đàm Châu Quy Sơn Thê"
"ex:monk/dam_chau_son_cau_coc","Đàm Châu Sơn Câu Cốc"
"ex:monk/dam_chau_thach_suong_lam","Đàm Châu Thạch Sương Lâm"
"ex:monk/dam_chau_thach_suong_sang","Đàm Châu Thạch Sương Sảng"
"ex:monk/dam_chau_tong_an","Đàm Châu Tổng Ấn"
"ex:monk/dam_chau_trung_van_cai","Đàm Châu Trung Vân Cái"
"ex:monk/dam_chau_truong_ty_khoang","Đàm Châu Trường Tỳ Khoáng"
"ex:monk/dam_chau_tu_khe","Đàm Châu Tú Khê"
"ex:monk/dam_chau_van_cai_canh","Đàm Châu Trung Vân Cái"
"ex:monk/dam_chau_van_cai_canh","Đàm Châu Vân Cái Cảnh"
"ex:monk/dam_chau_van_dien","Đàm Châu Văn Diễn"
"ex:monk/dam_chau_van_thu","Đàm Châu Văn Thù"
"ex:monk/dam_loan","Đàm Loan"
"ex:monk/dan_ha_pho_nguyet","Đan Hà Phổ Nguyệt"
"ex:monk/dang_chau_trung_do","Đặng Châu Trung Độ"
"ex:monk/dang_giac_pho_minh","Đẳng Giác Phổ Minh"
"ex:monk/dang_van_sieu_cap","Am Chủ Tích Thúy Vĩnh"
"ex:monk/dang_van_sieu_cap","Đăng Vân Siêu Cập"
"ex:monk/dao_an_pho_nhuan","Đạo An Phổ Nhuận"
"ex:monk/dao_dieu","Đạo Diệu"
"ex:monk/dao_duc","Đạo Đức"
"ex:monk/dao_dung_duc_quang","Đạo Dụng Đức Quảng"
"ex:monk/dao_gia_giang_chau_song_khe_dien","Đạo Giả Giang Châu Song Khê Điền"
"ex:monk/dao_lam_uyen","Đạo Lâm Uyên"
"ex:monk/dao_man_moc_tran","Đạo Mân Mộc Trần"
"ex:monk/dao_minh_hue_sam","Đạo Minh Huệ Sảm"
"ex:monk/dao_minh_pho_tinh","Đạo Minh Phổ Tịnh"
"ex:monk/dao_ngo_khe_thuyen","Đạo Ngô Khế Thuyên"
"ex:monk/dao_ngo_ngo_chan","Đạo Ngô Ngộ Chân"
"ex:monk/dao_ngo_nhu_nang","Đạo Ngô Nhữ Năng"
"ex:monk/dao_ngo_so_phuong","Đạo Ngô Sở Phương"
"ex:monk/dao_ngo_trong_vien","Đạo Ngô Trọng Viên"
"ex:monk/dao_ngo_tung_thanh","Đạo Ngô Tùng Thạnh"
"ex:monk/dao_ngo_vien_tri","Đạo Ngô Viên Trí"
"ex:monk/dao_nguyen_hy_huyen","Đạo Nguyên Hy Huyền"
"ex:monk/dao_nguyen_vien_dung","Đạo Nguyên Viên Dung"
"ex:monk/dao_nhan_tich_lac","Đạo Nhẫn Tịch Lạc"
"ex:monk/dao_ninh_dao_khoan","Đại Ninh Ðạo Khoan"
"ex:monk/dao_phong_tue_cu","Đạo Phong Tuệ Cư"
"ex:monk/dao_phu","Đạo Phủ"
"ex:monk/dao_sinh_minh_dat","Đạo Sinh Minh Đạt"
"ex:monk/dao_tam_trung_hau","Đạo Tâm Trung Hậu"
"ex:monk/dao_thanh_nhu_canh","Đạo Thành Như Cảnh"
"ex:monk/dao_thien_quang_tuan","Đạo Thiện Quang Tuấn"
"ex:monk/dao_tin","Tôn Giả Đạo Tín"
"ex:monk/dao_trang_cu_tue","Đạo Tràng Cư Tuệ"
"ex:monk/dao_trang_minh_bien","Đạo Tràng Minh Biện"
"ex:monk/dao_trang_nhu_not","Đạo Tràng Như Nột"
"ex:monk/dao_trang_phap_nhu","Đạo Tràng Pháp Như"
"ex:monk/dao_trang_phap_toan","Đạo Tràng Pháp Toàn"
"ex:monk/dao_trang_pho_nham","Đạo Tràng Phổ Nham"
"ex:monk/dao_trang_tue_lam","Đạo Tràng Tuệ Lâm"
"ex:monk/dao_trung_chanh_dinh","Đạo Trung Chánh Định"
"ex:monk/dao_tuyen","Đạo Tuyên"
"ex:monk/dao_xuoc","TS Đạo Xước"
"ex:monk/dao_xuoc_dao_xuoc","Đạo Xước"
"ex:monk/dao_xuoc_tay_ha_thien_su","Tây Hà Thiền Sư"
"ex:monk/dao_xuoc_thien_su","Thiền Sư"
"ex:monk/dat_khoan_chanh_an","Đạt Khoan Chánh An"
"ex:monk/dat_khuong_vien_giac","Đạt Khương Viên Giác"
"ex:monk/dat_luong_hung_long","Đạt Lượng Hưng Long"
"ex:monk/dat_ma_dat","Đạt Ma Đạt"
"ex:monk/dat_thuyen_nhut_chanh","Đạt Thuyên Nhựt Chánh"
"ex:monk/dau_suat_chi_an","Đâu Suất Chí Ân"
"ex:monk/dau_suat_tue_chieu","Đâu Suất Tuệ Chiếu"
"ex:monk/dau_suat_tung_duyet","Đâu Suất Tùng Duyệt"
"ex:monk/dau_tu_cam_on","Đầu Tử Cảm Ôn"
"ex:monk/dau_tu_dai_dong","Đầu Tử Đại Đồng"
"ex:monk/dau_tu_nghia_thanh","Đầu Tử Nghĩa Thanh"
"ex:monk/dau_tu_vien_tu","Đầu Tử Viên Tu"
"ex:monk/dd_dong_thien_thien_an","ĐĐ Đồng Thiện Thiện Ân"
"ex:monk/dd_dong_thien_thien_an","Đồng Thiện Thiện Ân"
"ex:monk/dd_tam_kien_chon_the","ĐĐ Tâm Kiên Chơn Thể"
"ex:monk/de_da_ca","Tôn Giả Đề Đa Ca"
"ex:monk/di_gia_ca","Tôn Giả Di Già Ca"
"ex:monk/di_phong_kinh_ninh","Di Phong Kính Ninh"
"ex:monk/di_son_tang_dung","Di Sơn Tạng Dụng"
"ex:monk/dia_tang_tue_tu","Địa Tạng Tuệ Từ"
"ex:monk/diem_quan_te_an","Diêm Quan Tề An"
"ex:monk/dien_hong_thien","Diên Hồng Thiện"
"ex:monk/dien_khanh_hong_chuan","Diên Khánh Hồng Chuẩn"
"ex:monk/dien_khanh_phap_doan","Diên Khánh Pháp Đoan"
"ex:monk/dien_khanh_phung_lan","Diên Khánh Phụng Lân"
"ex:monk/dien_khanh_thong_tanh","Diên Khánh Thông Tánh"
"ex:monk/dien_khanh_thuc","Diên Khánh Thúc"
"ex:monk/dien_khanh_truyen_an","Diên Khánh Truyền Ân"
"ex:monk/dien_phuc_tue_thang","Diên Phúc Tuệ Thăng"
"ex:monk/dien_phuc_tue_thang","Tịnh Từ Sư Nhất"
"ex:monk/dien_tho_tue_luan","Diên Thọ Tuệ Luân"
"ex:monk/dien_tong_ban","Diện Tông Bản"
"ex:monk/dien_triet_hu_van","Diễn Triệt Hư Vân"
"ex:monk/diep_huyen_quy_tinh","Diệp Huyện Quy Tỉnh"
"ex:monk/dieu_khoa_dao_lam","Điểu Khòa Đạo Lâm"
"ex:monk/dieu_khoa_dao_lam_phan_huong_quang","Phan Hương Quang"
"ex:monk/dieu_khoa_dao_lam_thien_su","Thiền sư"
"ex:monk/dieu_khoa_dao_lam_vien_tu_thien_su","Viên Tu Thiền sư"
"ex:monk/dieu_lien_thanh_hoa","Diệu Liên Thánh Hóa"
"ex:monk/dieu_phong_van","Diệu Phong Vân"
"ex:monk/dieu_te_su_hao","Diệu Tế Sư Hạo"
"ex:monk/dieu_tue","Diệu Tuệ"
"ex:monk/dinh_bao_phong_tri","Đinh Bảo Phong Trí"
"ex:monk/dinh_chau_ba_tieu","Dĩnh Châu Ba Tiêu"
"ex:monk/dinh_chau_dai_duong","Dĩnh Châu Đại Dương"
"ex:monk/dinh_chau_thien_thoi","Định Châu Thiện Thôi"
"ex:monk/dinh_chau_thuy_duong","Đinh Châu Thủy Đường"
"ex:monk/dinh_hue_sieu_tin","Định Huệ Siêu Tín"
"ex:monk/dinh_lam_canh_phuong","Định Lâm Cảnh Phượng"
"ex:monk/dinh_lam_tue_sam","Định Lâm Tuệ Sâm"
"ex:monk/dinh_phong_qua_thanh","Đỉnh Phong Quả Thành"
"ex:monk/do_huong_trinh","Cư Sĩ Tả Ty Ðô Huống Trịnh"
"ex:monk/do_luong_ton_thuc","Đô Lương Tồn Thực"
"ex:monk/doan_huc_nhu_hoang","Đoan Húc Như Hoằng"
"ex:monk/doan_kieu_dieu_luan","Đoạn Kiều Diệu Luân"
"ex:monk/doan_nghiem_su_tan","Đoan Nghiêm Sư Tấn"
"ex:monk/doan_truc_trong_hoa","Đoạn Trúc Trọng Hòa"
"ex:monk/doan_vien_chieu_hoa","Đoan Viên Chiếu Hóa"
"ex:monk/doi_dao_thuan","Cư Sĩ Tự Thừa Ðới Đạo Thuần"
"ex:monk/doi_thu_77","Đời Thứ 77"
"ex:monk/don_chau_bac_thien_tich","Đơn Châu Bắc Thiền Tịch"
"ex:monk/don_chau_dong_thien","Đơn Châu Đông Thiền"
"ex:monk/don_ha_nghia_an","Đơn Hà Nghĩa An"
"ex:monk/don_ha_thien_nhien","Đơn Hà Thiên Nhiên"
"ex:monk/don_ha_tu_thuan","Đơn Hà Tử Thuần"
"ex:monk/don_ha_tue_can","Đơn Hà Tuệ Cần"
"ex:monk/dong_an","Động An"
"ex:monk/dong_an_bao_lac","Đồng An Bảo Lạc"
"ex:monk/dong_an_dao_phi","Đồng An Đạo Phi"
"ex:monk/dong_an_dieu_tri","Đồng An Diệu Trí"
"ex:monk/dong_an_quan_tri","Đồng An Quan Trí"
"ex:monk/dong_an_thieu_hien","Đồng An Thiệu Hiển"
"ex:monk/dong_an_thuong_sat","Đồng An Thường Sát"
"ex:monk/dong_chon_long_hung","Đồng Chơn Long Hưng"
"ex:monk/dong_chon_tri_vien","Đồng Chơn Trí Viên"
"ex:monk/dong_coc_minh_quang","Đông Cốc Minh Quang"
"ex:monk/dong_dat_thanh_an","Đồng Đạt Thanh An"
"ex:monk/dong_diem_minh_thanh","Đồng Điểm Minh Thành"
"ex:monk/dong_dinh_tue_nguyet","Động Đình Tuệ Nguyệt"
"ex:monk/dong_duong_huyen_sach","Đông Dương Huyền Sách"
"ex:monk/dong_giac_giac_minh","Đồng Giác Giác Minh"
"ex:monk/dong_giac_tinh_giac","Đồng Giác Tịnh Giác"
"ex:monk/dong_hao_thong_hanh","Đồng Hảo Thông Hạnh"
"ex:monk/dong_hoa_giac_dinh","Đồng Hóa Giác Định"
"ex:monk/dong_huy_phap_do","Đồng Huy Pháp Độ"
"ex:monk/dong_lam_dao_nhan","Đông Lâm Đạo Nhan"
"ex:monk/dong_lam_thong_ly","Đông Lâm Thông Lý"
"ex:monk/dong_lam_tu_tuan","Đông Lâm Tự Tuân"
"ex:monk/dong_lang_vinh_du","Đông Lăng Vĩnh Dư"
"ex:monk/dong_ly_thong_nguyen","Đồng Lý Thông Nguyên"
"ex:monk/dong_man_hue_tanh","Đồng Mẫn Huệ Tánh"
"ex:monk/dong_minh_hue_nhat","Đông Minh Huệ Nhật"
"ex:monk/dong_minh_nhan_tien","Đông Minh Nhân Tiên"
"ex:monk/dong_minh_thien","Đông Minh Thiên"
"ex:monk/dong_nghia_thong_hanh","Đồng Nghĩa Thông Hạnh"
"ex:monk/dong_nguyen_bao_tinh","Đồng Nguyện Bảo Tịnh"
"ex:monk/dong_nguyen_thien_nguyen","Đồng Nguyện Thiện Nguyện"
"ex:monk/dong_nham_kha_huu","Động Nham Khả Hưu"
"ex:monk/dong_qua_thien_phuoc","Đồng Quả Thiện Phước"
"ex:monk/dong_son_ao_vi","Động Sơn Ðạo Vi"
"ex:monk/dong_son_bien","Động Sơn Biện"
"ex:monk/dong_son_cat","Đông Sơn Cát"
"ex:monk/dong_son_chi_can","Ðộng Sơn Chí Càn"
"ex:monk/dong_son_dao_dien","Động Sơn Đạo Diên"
"ex:monk/dong_son_dao_toan","Động Sơn Đạo Toàn"
"ex:monk/dong_son_giac","Đông Sơn Giác"
"ex:monk/dong_son_hieu_thong","Động Sơn Hiểu Thông"
"ex:monk/dong_son_kien","Động Sơn Kiền"
"ex:monk/dong_son_luong_gioi","Động Sơn Lương Giới"
"ex:monk/dong_son_pham_ngon","Đông Sơn Phạm Ngôn"
"ex:monk/dong_son_pham_ngon","Động Sơn Trạch Ngôn"
"ex:monk/dong_son_quy_doan","Động Sơn Quy Đoan"
"ex:monk/dong_son_te_vi","Giác A"
"ex:monk/dong_son_te_vi","Đông Sơn Tề Vĩ"
"ex:monk/dong_son_thanh_bam","Động Sơn Thanh Bẩm"
"ex:monk/dong_son_ton","Động Sơn Tồn"
"ex:monk/dong_son_tong_hue_thu_so","Động Sơn Tông Huệ Thủ Sơ"
"ex:monk/dong_son_trach_ngon","Động Sơn Trạch Ngôn"
"ex:monk/dong_son_van","Động Sơn Vân"
"ex:monk/dong_thanh_vi_thuy","Đồng Thanh Vị Thủy"
"ex:monk/dong_thien_duy_tu","Đông Thiền Duy Tư"
"ex:monk/dong_thien_huyen_giai","Đông Thiền Huyền Giai"
"ex:monk/dong_thien_kha_long","Đông Thiền Khả Long"
"ex:monk/dong_thien_khe_not","Đông Thiền Khế Nột"
"ex:monk/dong_thien_tu_nhac","Đông Thiền Tư Nhạc"
"ex:monk/dong_thien_tung_mat","Đông Thiền Tùng Mật"
"ex:monk/dong_thien_vuong_quang_tu","Đông Thiên Vương Quảng Từ"
"ex:monk/dong_tri_bao_hue","Đồng Trí Bảo Huệ"
"ex:monk/dong_tu_anh_lac_bo_tat_dai_the_chi","Đồng tử Anh Lạc (Bồ tát Đại Thế Chí)"
"ex:monk/dong_vien_phap_hoa","Đồng Viễn Pháp Hoa"
"ex:monk/dot_khong_tri_ban","Đột Không Trí Bản"
"ex:monk/duc_ban_tien_thong","Đức Bản Tiến Thông"
"ex:monk/duc_nhuan_thanh_thieu","Đức Nhuận Thanh Thiệu"
"ex:monk/duc_phong_tien_thinh","Đức Phong Tiến Thịnh"
"ex:monk/duc_son_duyen_mat","Đức Sơn Duyên Mật"
"ex:monk/duc_son_tong_thap","Am Chủ Đỉnh Châu Đức Sơn Tông Thập"
